PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
39369276,The Unruh effect and its applications,909,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:u-x6o8ySG0sC,Atsushi Higuchi,2008/7/1,,Reviews of Modern Physics,,"['Luis CB Crispino', 'Atsushi Higuchi', 'George EA Matsas']",Luis CB Crispino,"['Atsushi Higuchi', 'George EA Matsas']"
36811223,Forbidden mass range for spin-2 field theory in de Sitter spacetime,562,1987,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:u5HHmVD_uO8C,Atsushi Higuchi,1987/1/1,Nuclear Physics B,,,['Atsushi Higuchi'],Atsushi Higuchi,
58053863,On the eigenfunctions of the Dirac operator on spheres and real hyperbolic spaces,299,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:9yKSN-GCB0IC,Atsushi Higuchi,1996/9/1,Journal of Geometry and Physics,,,"['Roberto Camporesi', 'Atsushi Higuchi']",Roberto Camporesi,['Atsushi Higuchi']
15530409,"Symmetric tensor spherical harmonics on the N‐sphere and their application to the de Sitter group SO (N, 1)",280,1987,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:2osOgNQ5qMEC,Atsushi Higuchi,1987/7/1,Journal of mathematical physics,,,['Atsushi Higuchi'],Atsushi Higuchi,
1029748,Multipartite generalization of the Schmidt decomposition,226,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:d1gkVwhDpl0C,Atsushi Higuchi,2000/12/1,Journal of Mathematical Physics,,,"['Hilary A Carteret', 'Atsushi Higuchi', 'Anthony Sudbery']",Hilary A Carteret,"['Atsushi Higuchi', 'Anthony Sudbery']"
60135603,How entangled can two couples get?,220,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:UeHWp8X0CEIC,Atsushi Higuchi,2000/8/28,Physics Letters A,,,"['Atsushi Higuchi', 'Anthony Sudbery']",Atsushi Higuchi,['Anthony Sudbery']
14278724,Spectral functions and zeta functions in hyperbolic spaces,199,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:eQOLeE2rZwMC,Atsushi Higuchi,1994/8/1,Journal of Mathematical Physics,,,"['Roberto Camporesi', 'Atsushi Higuchi']",Roberto Camporesi,['Atsushi Higuchi']
3244919,Massive symmetric tensor field in spacetimes with a positive cosmological constant,137,1989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:zYLM7Y9cAGgC,Atsushi Higuchi,1989/10/23,Nuclear Physics B,,,['Atsushi Higuchi'],Atsushi Higuchi,
16008718,One-qubit reduced states of a pure many-qubit state: polygon inequalities,124,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:roLk4NBRz8UC,Atsushi Higuchi,2003/3/13,Physical review letters,,,"['A Higuchi', 'A Sudbery', 'J Szulc']",A Higuchi,"['A Sudbery', 'J Szulc']"
7001460,Quantum linearization instabilities of de Sitter spacetime. II,110,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:qjMakFHDy7sC,Atsushi Higuchi,1991/11/1,Classical and Quantum Gravity,,,['Atsushi Higuchi'],Atsushi Higuchi,
89282108,Bremsstrahlung and fulling-davies-unruh thermal bath,109,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:IjCSPb-OGe4C,Atsushi Higuchi,1992/10/15,Physical Review D,,,"['A Higuchi', 'GEA Matsas', 'D Sudarsky']",A Higuchi,"['GEA Matsas', 'D Sudarsky']"
94400396,Bremssstrahlung and zero-energy Rindler photons,103,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:Tyk-4Ss8FVUC,Atsushi Higuchi,1992/5/15,Physical Review D,,,"['Atsushi Higuchi', 'George EA Matsas', 'Daniel Sudarsky']",Atsushi Higuchi,"['George EA Matsas', 'Daniel Sudarsky']"
4443280,Quantization of the electromagnetic field outside static black holes and its application to low-energy phenomena,98,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=iV38Wo0AAAAJ&citation_for_view=iV38Wo0AAAAJ:YsMSGLbcyi4C,Atsushi Higuchi,2001/5/11,Physical Review D,,,"['Luis CB Crispino', 'Atsushi Higuchi', 'George EA Matsas']",Luis CB Crispino,"['Atsushi Higuchi', 'George EA Matsas']"
