PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
58540403,Alternating quotients of Fuchsian groups,56,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:u5HHmVD_uO8C,Brent Everitt,2000/1/15,Journal of Algebra,,,['Brent Everitt'],Brent Everitt,
90608056,3-manifolds from Platonic solids,44,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:d1gkVwhDpl0C,Brent Everitt,2004/3/28,Topology and its Applications,,,['Brent Everitt'],Brent Everitt,
11294416,Alternating quotients of the (3. qr) triangle groups,33,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:UeHWp8X0CEIC,Brent Everitt,1997/1/1,Communications in Algebra,,,['Brent Everitt'],Brent Everitt,
50959315,Regular maps on non-orientable surfaces,31,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:u-x6o8ySG0sC,Brent Everitt,1995/7/1,Geometriae Dedicata,,,"['Marston Conder', 'Brent Everitt']",Marston Conder,['Brent Everitt']
87850484,"Right-angled Coxeter polytopes, hyperbolic six-manifolds, and a problem of Siegel",27,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:Se3iqnhoufwC,Brent Everitt,2012/11/1,Mathematische Annalen,,,"['Brent Everitt', 'John G Ratcliffe', 'Steven T Tschantz']",Brent Everitt,"['John G Ratcliffe', 'Steven T Tschantz']"
79142487,The homotopy theory of Khovanov homology,25,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:LkGwnXOMwfcC,Brent Everitt,2014/11/5,Algebraic & Geometric Topology,,,"['Brent Everitt', 'Paul Turner']",Brent Everitt,['Paul Turner']
91438590,Coxeter groups and hyperbolic manifolds,20,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:9yKSN-GCB0IC,Brent Everitt,2004/9/1,Mathematische Annalen,,,['Brent Everitt'],Brent Everitt,
66780872,Homology of coloured posets: A generalisation of Khovanov's cube construction,19,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:W7OEmFMy1HYC,Brent Everitt,2009/7/15,Journal of Algebra,,,"['Brent Everitt', 'Paul Turner']",Brent Everitt,['Paul Turner']
39841183,Constructing hyperbolic manifolds,18,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:2osOgNQ5qMEC,Brent Everitt,2000/6/15,"Computational and Geometric Aspects of Modern Algebra. Michael Atkinson et al.(Editors), London Maths. Soc. Lect. Notes",,,"['Brent Everitt', 'Colin Maclachlan']",Brent Everitt,['Colin Maclachlan']
28156843,"Partial symmetry, reflection monoids and Coxeter groups",15,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:Y0pCki6q_DkC,Brent Everitt,2010/3/20,Advances in Mathematics,,,"['Brent Everitt', 'John Fountain']",Brent Everitt,['John Fountain']
63089176,Cellular cohomology of posets with local coefficients,14,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:mB3voiENLucC,Brent Everitt,2015/10/1,Journal of Algebra,,,"['Brent Everitt', 'Paul Turner']",Brent Everitt,['Paul Turner']
24798583,"Graphs, free groups and the Hanna Neumann conjecture",12,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:zYLM7Y9cAGgC,Brent Everitt,2008/9/30,,,,['Brent Everitt'],Brent Everitt,
73031689,"Partial mirror symmetry, lattice presentations and algebraic monoids",11,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:qxL8FJ1GzNcC,Brent Everitt,2013/8/1,Proceedings of the London Mathematical Society,,,"['Brent Everitt', 'John Fountain']",Brent Everitt,['John Fountain']
22402503,A family of conformally asymmetric Riemann surfaces,11,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:qjMakFHDy7sC,Brent Everitt,1997/5/1,Glasgow Mathematical Journal,,,['Brent Everitt'],Brent Everitt,
1585872,"Permutation representations of the (2, 4, r) triangle groups",11,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:IjCSPb-OGe4C,Brent Everitt,1994/6/1,Bulletin of the Australian Mathematical Society,,,['Brent Everitt'],Brent Everitt,
98120204,Khovanov homotopy types and the Dold-Thom functor,10,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:8k81kl-MbHgC,Brent Everitt,2012/2/8,arXiv preprint arXiv:1202.1856,,,"['Brent Everitt', 'Robert Lipshitz', 'Sucharit Sarkar', 'Paul Turner']",Brent Everitt,"['Robert Lipshitz', 'Sucharit Sarkar', 'Paul Turner']"
66989758,The smallest hyperbolic 6-manifolds,10,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:Tyk-4Ss8FVUC,Brent Everitt,2005/1/1,Electronic Research Announcements of the American Mathematical Society,,,"['Brent Everitt', 'John Ratcliffe', 'Steven Tschantz']",Brent Everitt,"['John Ratcliffe', 'Steven Tschantz']"
89776469,Khovanov homotopy types and the Dold-Thom functor,6,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:bEWYMUwI8FkC,Brent Everitt,2016/9/14,"Homology, Homotopy and Applications",,,"['Brent Everitt', 'Robert Lipshitz', 'Sucharit Sarkar', 'Paul Turner']",Brent Everitt,"['Robert Lipshitz', 'Sucharit Sarkar', 'Paul Turner']"
73599285,A (very short) introduction to buildings,6,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:Wp0gIr-vW9MC,Brent Everitt,2014/1/1,Expositiones Mathematicae,,,['Brent Everitt'],Brent Everitt,
67101836,The geometry and topology of groups,5,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&citation_for_view=6fpf7q8AAAAJ:5nxA0vEk-isC,Brent Everitt,2003/1/1,"Notes from lectures given at the Universidad Autonama, Madrid, and the University of York",,,['Brent Everitt'],Brent Everitt,
78370293,Bundles of coloured posets and a Leray-Serre spectral sequence for Khovanov homology,4,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&cstart=20&pagesize=80&citation_for_view=6fpf7q8AAAAJ:hqOjcs7Dif8C,Brent Everitt,2012/6/1,Transactions of the American Mathematical Society,,,"['Brent Everitt', 'Paul Turner']",Brent Everitt,['Paul Turner']
82938245,"Weyl groups, lattices and geometric manifolds",4,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&cstart=20&pagesize=80&citation_for_view=6fpf7q8AAAAJ:WF5omc3nYNoC,Brent Everitt,2009/10/1,Geometriae Dedicata,,,"['Brent Everitt', 'Robert B Howlett']",Brent Everitt,['Robert B Howlett']
11990945,The sympathetic sceptic’s guide to semigroup representations,3,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&cstart=20&pagesize=80&citation_for_view=6fpf7q8AAAAJ:blknAaTinKkC,Brent Everitt,2021/6/1,Expositiones Mathematicae,,,['Brent Everitt'],Brent Everitt,
17441497,Metrical Diophantine approximation for quaternions,3,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&cstart=20&pagesize=80&citation_for_view=6fpf7q8AAAAJ:kNdYIx-mwKoC,Brent Everitt,2014/11/1,Mathematical Proceedings of the Cambridge Philosophical Society,,,"['Maurice Dodson', 'Brent Everitt']",Maurice Dodson,['Brent Everitt']
64719550,Symmetries of Equations: An Introduction to Galois Theory,3,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&cstart=20&pagesize=80&citation_for_view=6fpf7q8AAAAJ:j3f4tGmQtD8C,Brent Everitt,2007/1/1,"Lecture course, University of York",,,['Brent Everitt'],Brent Everitt,
93461138,Deletion-restriction for sheaf homology of graded atomic lattices,2,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&cstart=20&pagesize=80&citation_for_view=6fpf7q8AAAAJ:k_IJM867U9cC,Brent Everitt,2022/6/25,Advances in Mathematics,,,"['Brent Everitt', 'Paul Turner']",Brent Everitt,['Paul Turner']
92514138,"Galois theory, graphs and free groups",2,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6fpf7q8AAAAJ&cstart=20&pagesize=80&citation_for_view=6fpf7q8AAAAJ:ULOm3_A8WrAC,Brent Everitt,2006/6/14,arXiv preprint math/0606326,,,['Brent Everitt'],Brent Everitt,
