PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
22069068,On the Characteristic Polynomial of a Random Unitary Matrix,168,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:u-x6o8ySG0sC,Christopher Hughes,2001/7/12,Communications in Mathematical Physics,,,"['CP Hughes', 'JP Keating', ""Neil O'Connell""]",CP Hughes,"['JP Keating', ""Neil O'Connell""]"
14296132,Random matrix theory and the derivative of the Riemann zeta function,128,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:u5HHmVD_uO8C,Christopher Hughes,2000/11/8,"Proceedings of the Royal Society of London. Series A: Mathematical, Physical and Engineering Sciences",,,"['CP Hughes', 'JP Keating', ""N O'Connell""]",CP Hughes,"['JP Keating', ""N O'Connell""]"
63204204,A hybrid Euler-Hadamard product for the Riemann zeta function,119,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:YsMSGLbcyi4C,Christopher Hughes,2007/2/15,,,,"['Steven M Gonek', 'Christopher P Hughes', 'Jonathan P Keating']",Steven M Gonek,"['Christopher P Hughes', 'Jonathan P Keating']"
9953465,Linear Statistics of Low‐Lying Zeros of L‐Functions,119,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:Y0pCki6q_DkC,Christopher Hughes,2003/9/1,Quarterly Journal of Mathematics,,,"['CP Hughes', 'Zeév Rudnick']",CP Hughes,['Zeév Rudnick']
15232264,The maximum size of L-functions,116,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:ufrVoPGSRksC,Christopher Hughes,2007/10/13,Journal für die reine und angewandte Mathematik (Crelles Journal),,,"['David W Farmer', 'SM Gonek', 'CP Hughes']",David W Farmer,"['SM Gonek', 'CP Hughes']"
89768333,The zeros of random polynomials cluster uniformly near the unit circle,115,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:_FxGoFyzp5QC,Christopher Hughes,2008/5/1,Compositio Mathematica,,,"['CP Hughes', 'A Nikeghbali']",CP Hughes,['A Nikeghbali']
39766294,Low-lying zeros of -functions with orthogonal symmetry,86,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:eQOLeE2rZwMC,Christopher Hughes,2007/1/15,Duke Mathematical Journal,,,"['CP Hughes', 'Steven J Miller']",CP Hughes,['Steven J Miller']
79081865,The characteristic polynomial of a random unitary matrix: a probabilistic approach,61,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:W7OEmFMy1HYC,Christopher Hughes,2008/10/1,,,,"['Paul Bourgade', 'Christopher P Hughes', 'Ashkan Nikeghbali', 'Marc Yor']",Paul Bourgade,"['Christopher P Hughes', 'Ashkan Nikeghbali', 'Marc Yor']"
15760001,On the characteristic polynomial of a random unitary matrix and the Riemann zeta function,60,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:d1gkVwhDpl0C,Christopher Hughes,2001/1/1,,,,['Christopher Paul Hughes'],Christopher Paul Hughes,
39651291,Mock-Gaussian behaviour for linear statistics of classical compact groups,57,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:WF5omc3nYNoC,Christopher Hughes,2003/3/28,Journal of Physics A: Mathematical and General,,,"['CP Hughes', 'Z Rudnick']",CP Hughes,['Z Rudnick']
22543228,The twisted fourth moment of the Riemann zeta function,56,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:Se3iqnhoufwC,Christopher Hughes,2010/1/1,J. reine angew. Math,,,"['CP Hughes', 'M Young']",CP Hughes,['M Young']
91965768,Random matrix theory and discrete moments of the Riemann zeta function,36,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:Tyk-4Ss8FVUC,Christopher Hughes,2003/3/28,Journal of Physics A: Mathematical and General,,,['Chris P Hughes'],Chris P Hughes,
32192207,Roots of the derivative of the Riemann-zeta function and of characteristic polynomials,30,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:UebtZRa9Y70C,Christopher Hughes,2010/10/1,Nonlinearity,,,"['Eduardo Dueñez', 'David W Farmer', 'Sara Froehlich', 'CP Hughes', 'Francesco Mezzadri', 'Toan Phan']",Eduardo Dueñez,"['David W Farmer', 'Sara Froehlich', 'CP Hughes', 'Francesco Mezzadri', 'Toan Phan']"
23421278,On the distribution of lattice points in thin annuli,29,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:5nxA0vEk-isC,Christopher Hughes,2004/1/1,International Mathematics Research Notices,,,"['CP Hughes', 'Z Rudnick']",CP Hughes,['Z Rudnick']
15818172,Linear statistics for zeros of Riemann's zeta function,24,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:LkGwnXOMwfcC,Christopher Hughes,2002/1/1,Comptes Rendus Mathematique,,,"['CP Hughes', 'Zeév Rudnick']",CP Hughes,['Zeév Rudnick']
77594122,An arithmetic model for the total disorder process,21,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:hqOjcs7Dif8C,Christopher Hughes,2008/5/1,Probability Theory and Related Fields,,,"['CP Hughes', 'A Nikeghbali', 'M Yor']",CP Hughes,"['A Nikeghbali', 'M Yor']"
77923819,Random permutation matrices under the generalized Ewens measure,18,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:qjMakFHDy7sC,Christopher Hughes,2011/9/23,Arxiv preprint arXiv:1109.5010,,,"['Christopher Hughes', 'Joseph Najnudel', 'Ashkan Nikeghbali', 'Dirk Zeindler']",Christopher Hughes,"['Joseph Najnudel', 'Ashkan Nikeghbali', 'Dirk Zeindler']"
72184819,The effects of self-regulated learning and cognitive load on beginning to watch and completing video lectures at a cyber-university,15,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:M3NEmzRMIkIC,Christopher Hughes,2018/10/15,Interactive Technology and Smart Education,,,"['Christopher Hughes', 'Jamie Costley', 'Christopher Lange']",Christopher Hughes,"['Jamie Costley', 'Christopher Lange']"
66529692,Mock-Gaussian behaviour,5,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:roLk4NBRz8UC,Christopher Hughes,2005/6/21,LONDON MATHEMATICAL SOCIETY LECTURE NOTE SERIES,,,['CP Hughes'],CP Hughes,
12988664,Linear statistics of low-lying zeros of,5,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&citation_for_view=E7q6WJsAAAAJ:GnPB-g6toBAC,Christopher Hughes,2003/1/1,,,,"['C Hughes', 'Z Rudnick']",C Hughes,['Z Rudnick']
68333240,On the number of zeros of linear combinations of independent characteristic polynomials of random unitary matrices,4,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&cstart=20&pagesize=80&citation_for_view=E7q6WJsAAAAJ:ULOm3_A8WrAC,Christopher Hughes,2015/1/1,International Mathematics Research Notices,,,"['Yacine Barhoumi-Andréani', 'Christopher Hughes', 'Joseph Najnudel', 'Ashkan Nikeghbali']",Yacine Barhoumi-Andréani,"['Christopher Hughes', 'Joseph Najnudel', 'Ashkan Nikeghbali']"
75472878,A discrete mean-value theorem for the higher derivatives of the Riemann zeta function,3,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&cstart=20&pagesize=80&citation_for_view=E7q6WJsAAAAJ:NMxIlDl6LWMC,Christopher Hughes,2022/12/1,Journal of Number Theory,,,"['Christopher Hughes', 'Andrew Pearce-Crump']",Christopher Hughes,['Andrew Pearce-Crump']
73411619,The effect of repeated differentiation on L-functions,2,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&cstart=20&pagesize=80&citation_for_view=E7q6WJsAAAAJ:HDshCWvjkbEC,Christopher Hughes,2019/1/1,Journal of Number Theory,,,"['Jos Gunns', 'Christopher Hughes']",Jos Gunns,['Christopher Hughes']
34522286,Great Moments of the Riemann zeta Function,1,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=E7q6WJsAAAAJ&cstart=20&pagesize=80&citation_for_view=E7q6WJsAAAAJ:0EnyYjriUFMC,Christopher Hughes,2009/1/1,Biscuits of Number Theory,,,"['Jennifer Beineke', 'Chris Hughes']",Jennifer Beineke,['Chris Hughes']
