PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
99570517,Fluid mixing by curved trajectories of microswimmers,78,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5Oe8mLgAAAAJ&citation_for_view=5Oe8mLgAAAAJ:HE397vMXCloC,Dmitri (Mitya) Pushkin,2013/10/31,Physical review letters,,,"['Dmitri O Pushkin', 'Julia M Yeomans']",Dmitri O Pushkin,['Julia M Yeomans']
60752457,An introduction to the hydrodynamics of swimming microorganisms,77,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5Oe8mLgAAAAJ&citation_for_view=5Oe8mLgAAAAJ:D_sINldO8mEC,Dmitri (Mitya) Pushkin,2014/9/1,,The European Physical Journal Special Topics,,"['Julia M Yeomans', 'Dmitri O Pushkin', 'Henry Shum']",Julia M Yeomans,"['Dmitri O Pushkin', 'Henry Shum']"
1511236,Ordering of small particles in one-dimensional coherent structures by time-periodic flows,74,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5Oe8mLgAAAAJ&citation_for_view=5Oe8mLgAAAAJ:9vf0nzSNQJEC,Dmitri (Mitya) Pushkin,2011/6/10,Physical review letters,,,"['Dmitri O Pushkin', 'Denis E Melnikov', 'Valentina M Shevtsova']",Dmitri O Pushkin,"['Denis E Melnikov', 'Valentina M Shevtsova']"
66332620,Entrainment dominates the interaction of microalgae with micron-sized objects,73,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5Oe8mLgAAAAJ&citation_for_view=5Oe8mLgAAAAJ:eMMeJKvmdy0C,Dmitri (Mitya) Pushkin,2016/8/18,Nature communications,,,"['Raphaël Jeanneret', 'Dmitri O Pushkin', 'Vasily Kantsler', 'Marco Polin']",Raphaël Jeanneret,"['Dmitri O Pushkin', 'Vasily Kantsler', 'Marco Polin']"
73870747,Fluid transport by individual microswimmers,71,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5Oe8mLgAAAAJ&citation_for_view=5Oe8mLgAAAAJ:XiVPGOgt02cC,Dmitri (Mitya) Pushkin,2013/7/1,Journal of Fluid Mechanics,,,"['Dmitri O Pushkin', 'Henry Shum', 'Julia M Yeomans']",Dmitri O Pushkin,"['Henry Shum', 'Julia M Yeomans']"
97464634,Tracer trajectories and displacement due to a micro-swimmer near a surface,54,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5Oe8mLgAAAAJ&citation_for_view=5Oe8mLgAAAAJ:VOx2b1Wkg3QC,Dmitri (Mitya) Pushkin,2015/6/1,Journal of Fluid Mechanics,,,"['Arnold JTM Mathijssen', 'Dmitri O Pushkin', 'Julia M Yeomans']",Arnold JTM Mathijssen,"['Dmitri O Pushkin', 'Julia M Yeomans']"
28093257,Accumulation of particles in time-dependent thermocapillary flow in a liquid bridge. Modeling of experiments,41,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5Oe8mLgAAAAJ&citation_for_view=5Oe8mLgAAAAJ:J-pR_7NvFogC,Dmitri (Mitya) Pushkin,2011/2/1,The European Physical Journal Special Topics,,,"['Denis Melnikov', 'D Pushkin', 'Valentina Shevtsova']",Denis Melnikov,"['D Pushkin', 'Valentina Shevtsova']"
37308289,Bank mergers as scale-free coagulation,41,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5Oe8mLgAAAAJ&citation_for_view=5Oe8mLgAAAAJ:5awf1xo2G04C,Dmitri (Mitya) Pushkin,2004/5/15,Physica A: Statistical Mechanics and its Applications,,,"['Dmitri O Pushkin', 'Hassan Aref']",Dmitri O Pushkin,['Hassan Aref']
67915490,The JEREMI-Project on thermocapillary convection in liquid bridges. Part A: Overview of Particle Accumulation Structures,39,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5Oe8mLgAAAAJ&citation_for_view=5Oe8mLgAAAAJ:ye4kPcJQO24C,Dmitri (Mitya) Pushkin,2014/3/15,,Fluid Dynamics and Materials Processing,,"['HC Kuhlmann', 'M Lappa', 'Denis Melnikov', 'Roman Mukin', 'FH Muldoon', 'D Pushkin', 'V Shevtsova', 'I Ueno']",HC Kuhlmann,"['M Lappa', 'Denis Melnikov', 'Roman Mukin', 'FH Muldoon', 'D Pushkin', 'V Shevtsova', 'I Ueno']"
60345813,Synchronization of finite-size particles by a traveling wave in a cylindrical flow,39,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5Oe8mLgAAAAJ&citation_for_view=5Oe8mLgAAAAJ:PELIpwtuRlgC,Dmitri (Mitya) Pushkin,2013/9/1,Physics of fluids,,,"['Denis E Melnikov', 'Dmitri O Pushkin', 'Valentina M Shevtsova']",Denis E Melnikov,"['Dmitri O Pushkin', 'Valentina M Shevtsova']"
