PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
69221845,Affine Toda field theory and exact S-matrices,432,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ipm-si4AAAAJ&citation_for_view=ipm-si4AAAAJ:u5HHmVD_uO8C,Ed Corrigan,1990/7/16,Nuclear Physics B,,,"['Harry W Braden', 'Edward Corrigan', 'Patrick E Dorey', 'Ryu Sasaki']",Harry W Braden,"['Edward Corrigan', 'Patrick E Dorey', 'Ryu Sasaki']"
5745255,First-order equations for gauge fields in spaces of dimension greater than four,391,1983,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ipm-si4AAAAJ&citation_for_view=ipm-si4AAAAJ:u-x6o8ySG0sC,Ed Corrigan,1983/4/18,Nuclear Physics B,,,"['Edward Corrigan', 'Chandrashekar Devchand', 'David B Fairlie', 'Jean Nuyts']",Edward Corrigan,"['Chandrashekar Devchand', 'David B Fairlie', 'Jean Nuyts']"
35655363,Scalar field theory and exact solutions to a classical SU (2) gauge theory,265,1977,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ipm-si4AAAAJ&citation_for_view=ipm-si4AAAAJ:qjMakFHDy7sC,Ed Corrigan,1977/3/14,Physics Letters B,,,"['E Corrigan', 'DB Fairlie']",E Corrigan,['DB Fairlie']
69157442,A Green function for the general self-dual gauge field,255,1978,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ipm-si4AAAAJ&citation_for_view=ipm-si4AAAAJ:d1gkVwhDpl0C,Ed Corrigan,1978/7/24,Nuclear Physics B,,,"['Edward F Corrigan', 'David B Fairlie', 'Stephen Templeton', 'Peter Goddard']",Edward F Corrigan,"['David B Fairlie', 'Stephen Templeton', 'Peter Goddard']"
54793590,The construction of self-dual solutions to SU (2) gauge theory,254,1978,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ipm-si4AAAAJ&citation_for_view=ipm-si4AAAAJ:9yKSN-GCB0IC,Ed Corrigan,1978/10/1,Communications in Mathematical Physics,,,"['EF Corrigan', 'DB Fairlie', 'RG Yates', 'P Goddard']",EF Corrigan,"['DB Fairlie', 'RG Yates', 'P Goddard']"
78031745,Construction of instanton and monopole solutions and reciprocity,224,1984,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ipm-si4AAAAJ&citation_for_view=ipm-si4AAAAJ:2osOgNQ5qMEC,Ed Corrigan,1984/4/15,Annals of Physics,,,"['E Corrigan', 'Peter Goddard']",E Corrigan,['Peter Goddard']
50027734,Magnetic monopoles in SU (3) gauge theories,197,1976,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ipm-si4AAAAJ&citation_for_view=ipm-si4AAAAJ:UeHWp8X0CEIC,Ed Corrigan,1976/1/1,Nuclear Physics B,,,"['Edward Corrigan', 'David I Olive', 'DB Fairlie', 'Jo Nuyts']",Edward Corrigan,"['David I Olive', 'DB Fairlie', 'Jo Nuyts']"
56177258,An n monopole solution with 4n—1 degrees of freedom,161,1981,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ipm-si4AAAAJ&citation_for_view=ipm-si4AAAAJ:IjCSPb-OGe4C,Ed Corrigan,1981/8/1,Communications in Mathematical Physics,,,"['Edward Corrigan', 'P Goddard']",Edward Corrigan,['P Goddard']
18584790,Classically integrable boundary conditions for affine Toda field theories,154,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ipm-si4AAAAJ&citation_for_view=ipm-si4AAAAJ:Tyk-4Ss8FVUC,Ed Corrigan,1995/7/10,Nuclear Physics B,,,"['P Bowcock', 'E Corrigan', 'PE Dorey', 'RH Rietdijk']",P Bowcock,"['E Corrigan', 'PE Dorey', 'RH Rietdijk']"
58110368,Affine Toda field theory on a half-line,149,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ipm-si4AAAAJ&citation_for_view=ipm-si4AAAAJ:Y0pCki6q_DkC,Ed Corrigan,1994/7/28,Physics Letters B,,,"['Edward Corrigan', 'PE Dorey', 'RH Rietdijk', 'R Sasaki']",Edward Corrigan,"['PE Dorey', 'RH Rietdijk', 'R Sasaki']"
