PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
90333417,On the nonlocality of the fractional Schrödinger equation,98,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5ZEBuQ0AAAAJ&citation_for_view=5ZEBuQ0AAAAJ:5nxA0vEk-isC,Eli Hawkins,2010/6/1,Journal of mathematical physics,,,"['M Jeng', 'S-L-Y Xu', 'Eli Hawkins', 'JM Schwarz']",M Jeng,"['S-L-Y Xu', 'Eli Hawkins', 'JM Schwarz']"
31801551,A groupoid approach to quantization,85,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5ZEBuQ0AAAAJ&citation_for_view=5ZEBuQ0AAAAJ:Y0pCki6q_DkC,Eli Hawkins,2008/3/1,Journal of Symplectic Geometry,,,['Eli Hawkins'],Eli Hawkins,
97452111,Noncommutative rigidity,77,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5ZEBuQ0AAAAJ&citation_for_view=5ZEBuQ0AAAAJ:2osOgNQ5qMEC,Eli Hawkins,2004/4/1,Communications in mathematical physics,,,['Eli Hawkins'],Eli Hawkins,
73333749,Evolution in quantum causal histories,59,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5ZEBuQ0AAAAJ&citation_for_view=5ZEBuQ0AAAAJ:u-x6o8ySG0sC,Eli Hawkins,2003/8/4,Classical and Quantum Gravity,,,"['Eli Hawkins', 'Fotini Markopoulou', 'Hanno Sahlmann']",Eli Hawkins,"['Fotini Markopoulou', 'Hanno Sahlmann']"
20403575,Hamiltonian gravity and noncommutative geometry,57,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5ZEBuQ0AAAAJ&citation_for_view=5ZEBuQ0AAAAJ:u5HHmVD_uO8C,Eli Hawkins,1997/8/1,Communications in mathematical physics,,,['Eli Hawkins'],Eli Hawkins,
46513829,Geometric quantization of vector bundles and the correspondence with deformation quantization,50,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5ZEBuQ0AAAAJ&citation_for_view=5ZEBuQ0AAAAJ:9yKSN-GCB0IC,Eli Hawkins,2000/12/1,Communications in Mathematical Physics,,,['Eli Hawkins'],Eli Hawkins,
81926905,Quantization of equivariant vector bundles,50,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5ZEBuQ0AAAAJ&citation_for_view=5ZEBuQ0AAAAJ:qjMakFHDy7sC,Eli Hawkins,1999/5/1,Communications in mathematical physics,,,['Eli Hawkins'],Eli Hawkins,
33832266,Fredholm modules for quantum Euclidean spheres,36,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5ZEBuQ0AAAAJ&citation_for_view=5ZEBuQ0AAAAJ:UeHWp8X0CEIC,Eli Hawkins,2004/3/1,Journal of Geometry and Physics,,,"['Eli Hawkins', 'Giovanni Landi']",Eli Hawkins,['Giovanni Landi']
68869415,The structure of noncommutative deformations,30,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5ZEBuQ0AAAAJ&citation_for_view=5ZEBuQ0AAAAJ:IjCSPb-OGe4C,Eli Hawkins,2007/11/1,Journal of Differential Geometry,,,['Eli Hawkins'],Eli Hawkins,
23477600,Noncommutative regularization for the practical man,30,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=5ZEBuQ0AAAAJ&citation_for_view=5ZEBuQ0AAAAJ:d1gkVwhDpl0C,Eli Hawkins,1999/8/8,arXiv preprint hep-th/9908052,,,['Eli Hawkins'],Eli Hawkins,
