PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
64888989,Solving a Levinthal's paradox for virus assembly identifies a unique antiviral strategy,107,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:Se3iqnhoufwC,Eric C. Dykeman,2014/4/8,Proceedings of the National Academy of Sciences,,,"['Eric C Dykeman', 'Peter G Stockley', 'Reidun Twarock']",Eric C Dykeman,"['Peter G Stockley', 'Reidun Twarock']"
30681767,Packaging signals in single-stranded RNA viruses: nature’s alternative to a purely electrostatic assembly mechanism,105,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:LkGwnXOMwfcC,Eric C. Dykeman,2013/3/1,Journal of biological physics,,,"['Peter G Stockley', 'Reidun Twarock', 'Saskia E Bakker', 'Amy M Barker', 'Alexander Borodavka', 'Eric Dykeman', 'Robert J Ford', 'Arwen R Pearson', 'Simon EV Phillips', 'Neil A Ranson', 'Roman Tuma']",Peter G Stockley,"['Reidun Twarock', 'Saskia E Bakker', 'Amy M Barker', 'Alexander Borodavka', 'Eric Dykeman', 'Robert J Ford', 'Arwen R Pearson', 'Simon EV Phillips', 'Neil A Ranson', 'Roman Tuma']"
5512702,Normal mode analysis and applications in biological physics,102,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:d1gkVwhDpl0C,Eric C. Dykeman,2010/10/27,Journal of Physics: Condensed Matter,,,"['Eric C Dykeman', 'Otto F Sankey']",Eric C Dykeman,['Otto F Sankey']
86946611,Direct Evidence for Packaging Signal-Mediated Assembly of Bacteriophage MS2,92,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:3fE2CSJIrl8C,Eric C. Dykeman,2016/1/29,Journal of molecular biology,,,"['Óttar Rolfsson', 'Stefani Middleton', 'Iain W Manfield', 'Simon J White', 'Baochang Fan', 'Robert Vaughan', 'Neil A Ranson', 'Eric Dykeman', 'Reidun Twarock', 'James Ford', 'C Cheng Kao', 'Peter G Stockley']",Óttar Rolfsson,"['Stefani Middleton', 'Iain W Manfield', 'Simon J White', 'Baochang Fan', 'Robert Vaughan', 'Neil A Ranson', 'Eric Dykeman', 'Reidun Twarock', 'James Ford', 'C Cheng Kao', 'Peter G Stockley']"
7572482,Packaging signals in two single-stranded RNA viruses imply a conserved assembly mechanism and geometry of the packaged genome,85,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:WF5omc3nYNoC,Eric C. Dykeman,2013/9/9,Journal of molecular biology,,,"['Eric C Dykeman', 'Peter G Stockley', 'Reidun Twarock']",Eric C Dykeman,"['Peter G Stockley', 'Reidun Twarock']"
63489402,HBV RNA pre-genome encodes specific motifs that mediate interactions with the viral core protein that promote nucleocapsid assembly.,79,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:M3ejUd6NZC8C,Eric C. Dykeman,2017/6/19,Nature microbiology,,,"['Nikesh Patel', 'Simon J White', 'Rebecca F Thompson', 'Richard Bingham', 'Eva U Weiß', 'Daniel P Maskell', 'Adam Zlotnick', 'Eric C Dykeman', 'Roman Tuma', 'Reidun Twarock', 'Neil A Ranson', 'Peter G Stockley']",Nikesh Patel,"['Simon J White', 'Rebecca F Thompson', 'Richard Bingham', 'Eva U Weiß', 'Daniel P Maskell', 'Adam Zlotnick', 'Eric C Dykeman', 'Roman Tuma', 'Reidun Twarock', 'Neil A Ranson', 'Peter G Stockley']"
88250369,Revealing the density of encoded functions in a viral RNA,75,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:5nxA0vEk-isC,Eric C. Dykeman,2015/2/17,Proceedings of the National Academy of Sciences,,,"['Nikesh Patel', 'Eric C Dykeman', 'Robert HA Coutts', 'George P Lomonossoff', 'David J Rowlands', 'Simon EV Phillips', 'Neil Ranson', 'Reidun Twarock', 'Roman Tuma', 'Peter G Stockley']",Nikesh Patel,"['Eric C Dykeman', 'Robert HA Coutts', 'George P Lomonossoff', 'David J Rowlands', 'Simon EV Phillips', 'Neil Ranson', 'Reidun Twarock', 'Roman Tuma', 'Peter G Stockley']"
24450681,Degenerate RNA packaging signals in the genome of satellite tobacco necrosis virus: implications for the assembly of a T= 1 capsid,75,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:qjMakFHDy7sC,Eric C. Dykeman,2011/10/14,Journal of molecular biology,,,"['David HJ Bunka', 'Stephen W Lane', 'Claire L Lane', 'Eric C Dykeman', 'Robert J Ford', 'Amy M Barker', 'Reidun Twarock', 'Simon EV Phillips', 'Peter G Stockley']",David HJ Bunka,"['Stephen W Lane', 'Claire L Lane', 'Eric C Dykeman', 'Robert J Ford', 'Amy M Barker', 'Reidun Twarock', 'Simon EV Phillips', 'Peter G Stockley']"
34940743,The impact of viral RNA on assembly pathway selection,73,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:u5HHmVD_uO8C,Eric C. Dykeman,2010/8/13,Journal of molecular biology,,,"['Victoria L Morton', 'Eric C Dykeman', 'Nicola J Stonehouse', 'Alison E Ashcroft', 'Reidun Twarock', 'Peter G Stockley']",Victoria L Morton,"['Eric C Dykeman', 'Nicola J Stonehouse', 'Alison E Ashcroft', 'Reidun Twarock', 'Peter G Stockley']"
21378673,Genomic RNA folding mediates assembly of human parechovirus,70,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:YOwf2qJgpHMC,Eric C. Dykeman,2017/2/23,Nature communications,,,"['Shabih Shakeel', 'Eric C Dykeman', 'Simon J White', 'Ari Ora', 'Joseph JB Cockburn', 'Sarah J Butcher', 'Peter G Stockley', 'Reidun Twarock']",Shabih Shakeel,"['Eric C Dykeman', 'Simon J White', 'Ari Ora', 'Joseph JB Cockburn', 'Sarah J Butcher', 'Peter G Stockley', 'Reidun Twarock']"
54025008,Low frequency mechanical modes of viral capsids: an atomistic approach,68,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:9yKSN-GCB0IC,Eric C. Dykeman,2008/1/14,Physical review letters,,,"['Eric C Dykeman', 'Otto F Sankey']",Eric C Dykeman,['Otto F Sankey']
47959158,Simple rules for efficient assembly predict the layout of a packaged viral RNA,66,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:2osOgNQ5qMEC,Eric C. Dykeman,2011/5/6,Journal of molecular biology,,,"['EC Dykeman', 'NE Grayson', 'K Toropova', 'NA Ranson', 'PG Stockley', 'R Twarock']",EC Dykeman,"['NE Grayson', 'K Toropova', 'NA Ranson', 'PG Stockley', 'R Twarock']"
90208190,Dynamic allostery controls coat protein conformer switching during MS2 phage assembly,66,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:u-x6o8ySG0sC,Eric C. Dykeman,2010/2/5,Journal of molecular biology,,,"['EC Dykeman', 'PG Stockley', 'R Twarock']",EC Dykeman,"['PG Stockley', 'R Twarock']"
42371462,Structural basis for DNA recognition and loading into a viral packaging motor,65,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:IjCSPb-OGe4C,Eric C. Dykeman,2012/1/17,Proceedings of the National Academy of Sciences,,,"['Carina R Büttner', 'Maria Chechik', 'Miguel Ortiz-Lombardía', 'Callum Smits', 'Ima-Obong Ebong', 'Victor Chechik', 'Gunnar Jeschke', 'Eric Dykeman', 'Stefano Benini', 'Carol V Robinson', 'Juan C Alonso', 'Alfred A Antson']",Carina R Büttner,"['Maria Chechik', 'Miguel Ortiz-Lombardía', 'Callum Smits', 'Ima-Obong Ebong', 'Victor Chechik', 'Gunnar Jeschke', 'Eric Dykeman', 'Stefano Benini', 'Carol V Robinson', 'Juan C Alonso', 'Alfred A Antson']"
19225557,Protein-mediated RNA folding governs sequence-specific interactions between rotavirus genome segments,64,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:aqlVkmm33-oC,Eric C. Dykeman,2017/9/18,Elife,,,"['Alexander Borodavka', 'Eric C Dykeman', 'Waldemar Schrimpf', 'Don C Lamb']",Alexander Borodavka,"['Eric C Dykeman', 'Waldemar Schrimpf', 'Don C Lamb']"
99071641,A modelling paradigm for RNA virus assembly,57,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:mVmsd5A6BfQC,Eric C. Dykeman,2018/8/1,,Current opinion in virology,,"['Reidun Twarock', 'Richard J Bingham', 'Eric C Dykeman', 'Peter G Stockley']",Reidun Twarock,"['Richard J Bingham', 'Eric C Dykeman', 'Peter G Stockley']"
60651896,Building a viral capsid in the presence of genomic RNA,56,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:eQOLeE2rZwMC,Eric C. Dykeman,2013/2/25,Physical Review E,,,"['Eric C Dykeman', 'Peter G Stockley', 'Reidun Twarock']",Eric C Dykeman,"['Peter G Stockley', 'Reidun Twarock']"
74510750,Cryo-EM structure and in vitro DNA packaging of a thermophilic virus with supersized T= 7 capsids,50,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:9ZlFYXVOiuMC,Eric C. Dykeman,2019/2/26,Proceedings of the National Academy of Sciences,,,"['Oliver W Bayfield', 'Evgeny Klimuk', 'Dennis C Winkler', 'Emma L Hesketh', 'Maria Chechik', 'Naiqian Cheng', 'Eric C Dykeman', 'Leonid Minakhin', 'Neil A Ranson', 'Konstantin Severinov', 'Alasdair C Steven', 'Alfred A Antson']",Oliver W Bayfield,"['Evgeny Klimuk', 'Dennis C Winkler', 'Emma L Hesketh', 'Maria Chechik', 'Naiqian Cheng', 'Eric C Dykeman', 'Leonid Minakhin', 'Neil A Ranson', 'Konstantin Severinov', 'Alasdair C Steven', 'Alfred A Antson']"
65411152,Identification of novel RNA secondary structures within the hepatitis C virus genome reveals a cooperative involvement in genome packaging,49,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:KlAtU1dfN6UC,Eric C. Dykeman,2016/3/14,Scientific reports,,,"['H Stewart', 'RJ Bingham', 'SJ White', 'EC Dykeman', 'C Zothner', 'AK Tuplin', 'Peter G Stockley', 'R Twarock', 'M Harris']",H Stewart,"['RJ Bingham', 'SJ White', 'EC Dykeman', 'C Zothner', 'AK Tuplin', 'Peter G Stockley', 'R Twarock', 'M Harris']"
40607755,Bacteriophage MS2 genomic RNA encodes an assembly instruction manual for its capsid,46,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&citation_for_view=SaX2WjcAAAAJ:kNdYIx-mwKoC,Eric C. Dykeman,2016/1/2,Bacteriophage,,,"['Peter G Stockley', 'Simon J White', 'Eric Dykeman', 'Iain Manfield', 'Ottar Rolfsson', 'Nikesh Patel', 'Richard Bingham', 'Amy Barker', 'Emma Wroblewski', 'Rebecca Chandler-Bostock', 'Eva U Weiß', 'Neil A Ranson', 'Roman Tuma', 'Reidun Twarock']",Peter G Stockley,"['Simon J White', 'Eric Dykeman', 'Iain Manfield', 'Ottar Rolfsson', 'Nikesh Patel', 'Richard Bingham', 'Amy Barker', 'Emma Wroblewski', 'Rebecca Chandler-Bostock', 'Eva U Weiß', 'Neil A Ranson', 'Roman Tuma', 'Reidun Twarock']"
37860170,Atomistic modeling of the low-frequency mechanical modes and Raman spectra of icosahedral virus capsids,37,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&cstart=20&pagesize=80&citation_for_view=SaX2WjcAAAAJ:YsMSGLbcyi4C,Eric C. Dykeman,2010/2/19,Physical Review E,,,"['Eric C Dykeman', 'Otto F Sankey']",Eric C Dykeman,['Otto F Sankey']
41899597,Raman scattering studies of the low-frequency vibrational modes of bacteriophage M13 in water—observation of an axial torsion mode,32,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=SaX2WjcAAAAJ&cstart=20&pagesize=80&citation_for_view=SaX2WjcAAAAJ:UeHWp8X0CEIC,Eric C. Dykeman,2006/11/14,Nanotechnology,,,"['KT Tsen', 'Eric C Dykeman', 'Otto F Sankey', 'Shaw-Wei D Tsen', 'Nien-Tsung Lin', 'Juliann G Kiang']",KT Tsen,"['Eric C Dykeman', 'Otto F Sankey', 'Shaw-Wei D Tsen', 'Nien-Tsung Lin', 'Juliann G Kiang']"
