PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
45568908,Exact S-matrices for nonsimply-laced affine Toda theories,153,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:u5HHmVD_uO8C,Gustav Delius,1992/9/7,Nuclear Physics B,,,"['GW Delius', 'Marcus T Grisaru', 'D Zanon']",GW Delius,"['Marcus T Grisaru', 'D Zanon']"
91809990,Quantum group symmetry in sine-Gordon and affine Toda field theories on the half-line,115,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:u-x6o8ySG0sC,Gustav Delius,2003/2/12,Communications in mathematical physics,,,"['Gustav W Delius', 'Niall J MacKay']",Gustav W Delius,['Niall J MacKay']
21804080,On the construction of trigonometric solutions of the Yang-Baxter equation,76,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:d1gkVwhDpl0C,Gustav Delius,1994/12/19,Nuclear Physics B,,,"['Gustav W Delius', 'Mark D Gould', 'Yao-Zhong Zhang']",Gustav W Delius,"['Mark D Gould', 'Yao-Zhong Zhang']"
49834125,The method of coadjoint orbits; An algorithm for the construction of invariant actions,76,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:qjMakFHDy7sC,Gustav Delius,1990/10/20,International Journal of Modern Physics A,,,"['Gustav W Delius', 'Peter Van Nieuwenhuizen', 'VGJ Rodgers']",Gustav W Delius,"['Peter Van Nieuwenhuizen', 'VGJ Rodgers']"
46616190,Boundary remnant of Yangian symmetry and the structure of rational reflection matrices,68,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:UeHWp8X0CEIC,Gustav Delius,2001/12/13,Physics Letters B,,,"['GW Delius', 'NJ MacKay', 'BJ Short']",GW Delius,"['NJ MacKay', 'BJ Short']"
71401765,Solutions of the quantum Yang-Baxter equation with extra nonadditive parameters,68,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:9yKSN-GCB0IC,Gustav Delius,1994/10/7,Journal of Physics A: Mathematical and General,,,"['Anthony J Bracken', 'Mark D Gould', 'Yao-Zhong Zhang', 'Gustav W Delius']",Anthony J Bracken,"['Mark D Gould', 'Yao-Zhong Zhang', 'Gustav W Delius']"
75749831,A jump-growth model for predator–prey dynamics: derivation and application to marine ecosystems,55,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:Wp0gIr-vW9MC,Gustav Delius,2010/8/1,Bulletin of mathematical biology,,,"['Samik Datta', 'Gustav W Delius', 'Richard Law']",Samik Datta,"['Gustav W Delius', 'Richard Law']"
8543033,Exact S-matrix and perturbative calculations in affine Toda theories based on Lie superalgebras,51,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:IjCSPb-OGe4C,Gustav Delius,1991/7/29,Nuclear Physics B,,,"['GW Delius', 'Marcus T Grisaru', 'S Penati', 'D Zanon']",GW Delius,"['Marcus T Grisaru', 'S Penati', 'D Zanon']"
65604835,The exact S-matrices of affine Toda theories based on Lie superalgebras,51,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:zYLM7Y9cAGgC,Gustav Delius,1991/3/7,Physics Letters B,,,"['GW Delius', 'Marcus T Grisaru', 'S Penati', 'D Zanon']",GW Delius,"['Marcus T Grisaru', 'S Penati', 'D Zanon']"
38312457,A stability analysis of the power-law steady state of marine size spectra,50,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:4DMP91E08xMC,Gustav Delius,2010/1/1,Journal of mathematical biology,,,"['Samik Datta', 'Gustav W Delius', 'Richard Law', 'Michael J Plank']",Samik Datta,"['Gustav W Delius', 'Richard Law', 'Michael J Plank']"
72934483,On quantum Lie algebras and quantum root systems,47,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:ufrVoPGSRksC,Gustav Delius,1996/4/21,Journal of Physics A: Mathematical and General,,,"['Gustav W Delius', 'Andreas Hüffmann']",Gustav W Delius,['Andreas Hüffmann']
32916910,Free quantum action and BRST charge for the superparticle,47,1989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:Y0pCki6q_DkC,Gustav Delius,1989/10/12,Physics Letters B,,,"['Fiorenzo Bastianelli', 'Gustav W Delius', 'Eric Laenen']",Fiorenzo Bastianelli,"['Gustav W Delius', 'Eric Laenen']"
87097836,On type-I quantum affine superalgebras,46,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:2osOgNQ5qMEC,Gustav Delius,1994/8/2,Arxiv preprint hep-th/9408006,,,"['Gustav W Delius', 'Mark D Gould', 'Jon R Links', 'Yao-Zhong Zhang']",Gustav W Delius,"['Mark D Gould', 'Jon R Links', 'Yao-Zhong Zhang']"
23435321,Infinite Families of Gauge-Equivalent R-Matrices and Gradations of Quantized Affine Algebras,37,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:8k81kl-MbHgC,Gustav Delius,1994/1/1,Journal of Modern Physics B,,,"['Anthony J Bracken', 'Mark D Gould', 'Yao-Zhong Zhang', 'Gustav W Delius']",Anthony J Bracken,"['Mark D Gould', 'Yao-Zhong Zhang', 'Gustav W Delius']"
17954682,Quantum conserved currents in affine Toda theories,37,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:YsMSGLbcyi4C,Gustav Delius,1992/10/19,Nuclear Physics B,,,"['GW Delius', 'Marcus T Grisaru', 'D Zanon']",GW Delius,"['Marcus T Grisaru', 'D Zanon']"
39004341,Particle reflection amplitudes in a_n^(1) Toda field theories,36,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:Tyk-4Ss8FVUC,Gustav Delius,1999/8/9,Nuclear Physics B,,,"['Gustav W Delius', 'Georg M Gandenberger']",Gustav W Delius,['Georg M Gandenberger']
66508442,Boundary breathers in the sinh-Gordon model,35,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:WF5omc3nYNoC,Gustav Delius,1999/12/10,Journal of Physics A: Mathematical and General,,,"['E Corrigan', 'GW Delius']",E Corrigan,['GW Delius']
46713657,"Quantum Lie algebras, their existence, uniqueness and q-antisymmetry",35,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:_FxGoFyzp5QC,Gustav Delius,1997/5/12,Communications in mathematical physics,,,"['Gustav W Delius', 'Mark D Gould']",Gustav W Delius,['Mark D Gould']
87105402,Quantum Affine Reflection Algebras of Type D and Reflection Matrices,34,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:0EnyYjriUFMC,Gustav Delius,2002/12/1,Letters in Mathematical Physics,,,"['Gustav W Delius', 'Alan George']",Gustav W Delius,['Alan George']
69125084,Twisted quantum affine algebras and solutions to the Yang-Baxter equation,34,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&citation_for_view=YbzI-g4AAAAJ:eQOLeE2rZwMC,Gustav Delius,1996/1/1,International Journal of Modern Physics A,,,"['Gustav W Delius', 'Mark D Gould', 'Yao-Zhong Zhang']",Gustav W Delius,"['Mark D Gould', 'Yao-Zhong Zhang']"
68180085,Exact S-matrices with affine quantum group symmetry,34,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&cstart=20&pagesize=80&citation_for_view=YbzI-g4AAAAJ:W7OEmFMy1HYC,Gustav Delius,1995/9/25,Nuclear Physics B,,,['Gustav W Delius'],Gustav W Delius,
36328443,Supersymmetric sigma models with non-vanishing Nijenhuis tensor and their operator product expansion,33,1989,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&cstart=20&pagesize=80&citation_for_view=YbzI-g4AAAAJ:5nxA0vEk-isC,Gustav Delius,1989/9/25,Nuclear Physics B,,,"['Gustav W Delius', 'Martin Rocek', 'Alexander Sevrin', 'Peter van Nieuwenhuizen']",Gustav W Delius,"['Martin Rocek', 'Alexander Sevrin', 'Peter van Nieuwenhuizen']"
34590294,Solutions of the boundary Yang–Baxter equation for arbitrary spin,31,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&cstart=20&pagesize=80&citation_for_view=YbzI-g4AAAAJ:roLk4NBRz8UC,Gustav Delius,2002/6/21,Journal of Physics A: Mathematical and General,,,"['GW Delius', 'Rafael I Nepomechie']",GW Delius,['Rafael I Nepomechie']
63554675,Coupling integrable field theories to mechanical systems at the boundary,31,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&cstart=20&pagesize=80&citation_for_view=YbzI-g4AAAAJ:LkGwnXOMwfcC,Gustav Delius,2001/10/12,Journal of Physics A: Mathematical and General,,,"['P Baseilhac', 'GW Delius']",P Baseilhac,['GW Delius']
39453079,Erratum to:``Boundary remnant of Yangian symmetry and the structure of rational reflection matrices''[Phys. Lett. B 522 (2001) 335-344],30,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&cstart=20&pagesize=80&citation_for_view=YbzI-g4AAAAJ:3A3nxV7CjKIC,Gustav Delius,2002/1/1,Physics Letters B,,,"['GW Delius', 'NJ MacKay', 'BJ Short']",GW Delius,"['NJ MacKay', 'BJ Short']"
60269586,Scale-invariant model of marine population dynamics,27,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&cstart=20&pagesize=80&citation_for_view=YbzI-g4AAAAJ:dhFuZR0502QC,Gustav Delius,2010/6/1,Physical Review E,,,"['José A Capitán', 'Gustav W Delius']",José A Capitán,['Gustav W Delius']
64823870,Soliton-preserving boundary condition in affine Toda field theories,27,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YbzI-g4AAAAJ&cstart=20&pagesize=80&citation_for_view=YbzI-g4AAAAJ:UebtZRa9Y70C,Gustav Delius,1998/9/18,Physics Letters B,,,['Gustav W Delius'],Gustav W Delius,
