PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
43264985,Phase space properties and the short distance structure in quantum field theory,43,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yc4L3cEAAAAJ&citation_for_view=Yc4L3cEAAAAJ:u-x6o8ySG0sC,Henning Bostelmann,2005/5/1,Journal of Mathematical Physics,,,['Henning Bostelmann'],Henning Bostelmann,
21897989,Impossible measurements require impossible apparatus,39,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yc4L3cEAAAAJ&citation_for_view=Yc4L3cEAAAAJ:kNdYIx-mwKoC,Henning Bostelmann,2021/1/20,Physical Review D,,,"['Henning Bostelmann', 'Christopher J Fewster', 'Maximilian H Ruep']",Henning Bostelmann,"['Christopher J Fewster', 'Maximilian H Ruep']"
78427424,Lokale Algebren und Operatorprodukte am Punkt,33,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yc4L3cEAAAAJ&citation_for_view=Yc4L3cEAAAAJ:u5HHmVD_uO8C,Henning Bostelmann,2000/11/1,,,,['Henning Bostelmann'],Henning Bostelmann,
44041186,Operator product expansions as a consequence of phase space properties,29,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yc4L3cEAAAAJ&citation_for_view=Yc4L3cEAAAAJ:d1gkVwhDpl0C,Henning Bostelmann,2005/8/1,Journal of Mathematical Physics,,,['Henning Bostelmann'],Henning Bostelmann,
34343098,Quantum backflow and scattering,24,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yc4L3cEAAAAJ&citation_for_view=Yc4L3cEAAAAJ:0EnyYjriUFMC,Henning Bostelmann,2017/7/13,Physical Review A,,,"['Henning Bostelmann', 'Daniela Cadamuro', 'Gandalf Lechner']",Henning Bostelmann,"['Daniela Cadamuro', 'Gandalf Lechner']"
38536725,Quantum energy inequality for the massive Ising model,24,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yc4L3cEAAAAJ&citation_for_view=Yc4L3cEAAAAJ:LkGwnXOMwfcC,Henning Bostelmann,2013/7/10,Physical Review D,,,"['Henning Bostelmann', 'Daniela Cadamuro', 'Christopher J Fewster']",Henning Bostelmann,"['Daniela Cadamuro', 'Christopher J Fewster']"
10369677,Quantum inequalities from operator product expansions,23,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yc4L3cEAAAAJ&citation_for_view=Yc4L3cEAAAAJ:qjMakFHDy7sC,Henning Bostelmann,2009/12/1,Communications in Mathematical Physics,,,"['Henning Bostelmann', 'Christopher J Fewster']",Henning Bostelmann,['Christopher J Fewster']
44824241,Characterization of local observables in integrable quantum field theories,22,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yc4L3cEAAAAJ&citation_for_view=Yc4L3cEAAAAJ:Se3iqnhoufwC,Henning Bostelmann,2015/8/1,Communications in Mathematical Physics,,,"['Henning Bostelmann', 'Daniela Cadamuro']",Henning Bostelmann,['Daniela Cadamuro']
13613410,An operator expansion for integrable quantum field theories,22,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yc4L3cEAAAAJ&citation_for_view=Yc4L3cEAAAAJ:_FxGoFyzp5QC,Henning Bostelmann,2013/3/1,Journal of Physics A: Mathematical and Theoretical,,,"['H Bostelmann', 'D Cadamuro']",H Bostelmann,['D Cadamuro']
92082922,Scaling limits of integrable quantum field theories,18,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Yc4L3cEAAAAJ&citation_for_view=Yc4L3cEAAAAJ:zYLM7Y9cAGgC,Henning Bostelmann,2011/5/13,Reviews in Mathematical Physics,,,"['Henning Bostelmann', 'Gandalf Lechner', 'Gerardo Morsella']",Henning Bostelmann,"['Gandalf Lechner', 'Gerardo Morsella']"
