PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
5845879,Global solutions of the elliptic 2D periodic Toda lattice,79,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:u5HHmVD_uO8C,Ian McIntosh,1994/1/1,Nonlinearity,,,['Ian McIntosh'],Ian McIntosh,
19528076,Special Lagrangian cones in and primitive harmonic maps,63,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:u-x6o8ySG0sC,Ian McIntosh,2003/6/1,Journal of the London Mathematical Society,,,['Ian McIntosh'],Ian McIntosh,
42880412,New constant mean curvature surfaces,54,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:9yKSN-GCB0IC,Ian McIntosh,2000/1/1,Experimental mathematics,,,"['Martin Kilian', 'Ian Mclntosh', 'Nicholas Schmitt']",Martin Kilian,"['Ian Mclntosh', 'Nicholas Schmitt']"
72877580,Minimal Lagrangian 2-Tori in CP^2 come in real families of every dimension.,47,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:YOwf2qJgpHMC,Ian McIntosh,2004/1/1,J. London Math. Soc,,,"['E Carberry', 'I McIntosh']",E Carberry,['I McIntosh']
89391717,A construction of all non-isotropic harmonic tori in complex projective space,42,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:d1gkVwhDpl0C,Ian McIntosh,1995/12/1,International Journal of Mathematics,,,['Ian McIntosh'],Ian McIntosh,
38262051,Single phase averaging and travelling wave solutions of the modified Burgers-Korteweg-de Vries equation,36,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:7PzlFSSx8tAC,Ian McIntosh,1990/1/1,Physics Letters A,,,['Ian McIntosh'],Ian McIntosh,
57188820,Two Remarks on the Construction of Harmonic Tori in CP^ n,29,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:qjMakFHDy7sC,Ian McIntosh,1996/8/1,International Journal of Mathematics,,,['I McIntosh'],I McIntosh,
98549454,Infinite dimensional Lie groups and the two-dimensional Toda lattice,22,1994,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:UeHWp8X0CEIC,Ian McIntosh,1994/1/1,Harmonic maps and integrable systems,,,['I McIntosh'],I McIntosh,
53423145,Harmonic tori and their spectral data,20,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:eQOLeE2rZwMC,Ian McIntosh,2008/1/1,Adv. Stud. Pure Math,,,['Ian McIntosh'],Ian McIntosh,
51131796,Periodic discrete conformal maps,17,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:Tyk-4Ss8FVUC,Ian McIntosh,2001/4/25,,,,"['Udo Hetrich-Jeromin', 'Ian McIntosh', 'F Pedit P. Norman']",Udo Hetrich-Jeromin,"['Ian McIntosh', 'F Pedit P. Norman']"
34572985,On the meromorphic potential for a harmonic surface in a k-symmetric space,17,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:YsMSGLbcyi4C,Ian McIntosh,1995/6/1,,,,"['Josef Dorfmeister', 'H Wu', 'I McIntosh', 'F Pedit']",Josef Dorfmeister,"['H Wu', 'I McIntosh', 'F Pedit']"
87016417,"Minimal Lagrangian surfaces in and representations of surface groups into SU (2, 1)",13,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:Se3iqnhoufwC,Ian McIntosh,2013/2/1,Geometriae Dedicata,,,"['John Loftin', 'Ian McIntosh']",John Loftin,['Ian McIntosh']
56517674,Harmonic tori and generalised Jacobi varieties,13,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:IjCSPb-OGe4C,Ian McIntosh,1999/6/11,arXiv preprint math/9906076,,,['Ian McIntosh'],Ian McIntosh,
57820079,On the existence of superconformal 2-tori and doubly periodic affine Toda fields,12,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:Y0pCki6q_DkC,Ian McIntosh,1998/2/1,Journal of Geometry and Physics,,,['Ian McIntosh'],Ian McIntosh,
64333116,SL(n + 1)-invariant equations which reduce to equations of Korteweg-de Vries type,11,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:WF5omc3nYNoC,Ian McIntosh,1990/1/1,Proceedings of the Royal Society of Edinburgh Section A: Mathematics,,,['Ian McIntosh'],Ian McIntosh,
90368034,The spectral data for Hamiltonian stationary Lagrangian tori in R4,10,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:ufrVoPGSRksC,Ian McIntosh,2011/3/1,Differential Geometry and its Applications,,,"['Ian McIntosh', 'Pascal Romon']",Ian McIntosh,['Pascal Romon']
86709381,Cubic differentials in the differential geometry of surfaces,8,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:HDshCWvjkbEC,Ian McIntosh,2013/10/18,arXiv preprint arXiv:1310.5120,,,"['John Loftin', 'Ian McIntosh']",John Loftin,['Ian McIntosh']
99250757,Equivariant minimal surfaces in  and their Higgs bundles,7,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:4JMBOYKVnBMC,Ian McIntosh,2015/10/2,arXiv preprint arXiv:1510.00553,,,"['John Loftin', 'Ian McIntosh']",John Loftin,['Ian McIntosh']
9587589,The classification of Hamiltonian stationary Lagrangian tori in by their spectral data,6,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:Zph67rFs4hoC,Ian McIntosh,2011/7/1,manuscripta mathematica,,,"['Richard Hunter', 'Ian McIntosh']",Richard Hunter,['Ian McIntosh']
97500638,The quaternionic KP hierarchy and conformally immersed 2-tori in the 4-sphere,6,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&citation_for_view=xjuigcMAAAAJ:UebtZRa9Y70C,Ian McIntosh,2011/6/30,"Tohoku Mathematical Journal, Second Series",,,['Ian McIntosh'],Ian McIntosh,
49563717,"Groups of equivariant loops in SL(n+1,C) and soliton equations",4,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&cstart=20&pagesize=80&citation_for_view=xjuigcMAAAAJ:W7OEmFMy1HYC,Ian McIntosh,1993/11/1,Journal of mathematical physics,,,['Ian McIntosh'],Ian McIntosh,
65088241,Minimal Lagrangian submanifolds via the geodesic Gauss map,2,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&cstart=20&pagesize=80&citation_for_view=xjuigcMAAAAJ:j3f4tGmQtD8C,Ian McIntosh,2016/1/1,Communications in Analysis and Geometry,,,"['Ian McIntosh', 'Christopher Draper']",Ian McIntosh,['Christopher Draper']
532378,Hamiltonian stationary Lagrangian tori in R 4 and CP 2.,2,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&cstart=20&pagesize=80&citation_for_view=xjuigcMAAAAJ:LkGwnXOMwfcC,Ian McIntosh,2007/1/1,Symposium on the Differential Geometry of Submanifolds,,,['Ian McIntosh'],Ian McIntosh,
56261378,Soliton equations and connections with self-dual curvature,2,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&cstart=20&pagesize=80&citation_for_view=xjuigcMAAAAJ:roLk4NBRz8UC,Ian McIntosh,1993/9/30,,,,['I McIntosh'],I McIntosh,
2298594,On the modulation of solutions to scalar lax equations according to Whitham's procedure,2,1990,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&cstart=20&pagesize=80&citation_for_view=xjuigcMAAAAJ:hqOjcs7Dif8C,Ian McIntosh,1990/4/30,Physics Letters A,,,['Ian McIntosh'],Ian McIntosh,
97333505,Dressing orbits of super-horizontal holomorphic maps,1,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=xjuigcMAAAAJ&cstart=20&pagesize=80&citation_for_view=xjuigcMAAAAJ:0EnyYjriUFMC,Ian McIntosh,1999/7/1,Mathematical Proceedings of the Cambridge Philosophical Society,,,['IAN McINTOSH'],IAN McINTOSH,
