PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
95196717,On a problem of K. Mahler: Diophantine approximation and Cantor sets,74,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:u-x6o8ySG0sC,Jason Levesley,2007/5/1,Mathematische Annalen,,,"['Jason Levesley', 'Cem Salp', 'Sanju L Velani']",Jason Levesley,"['Cem Salp', 'Sanju L Velani']"
9686038,A general inhomogeneous Jarnik–Besicovitch theorem,40,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:u5HHmVD_uO8C,Jason Levesley,1998/7/1,Journal of Number Theory,,,['Jason Levesley'],Jason Levesley,
88725300,Predicting values of a series of data,39,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:d1gkVwhDpl0C,Jason Levesley,2004/5/4,,,,,,
52954310,Simultaneous Diophantine approximation on polynomial curves,30,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:roLk4NBRz8UC,Jason Levesley,2010/1/1,Mathematika,,,"['Natalia Budarina', 'Detta Dickinson', 'Jason Levesley']",Natalia Budarina,"['Detta Dickinson', 'Jason Levesley']"
75284609,Diophantine approximation and applications in interference alignment,21,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:UebtZRa9Y70C,Jason Levesley,2016/10/22,Advances in Mathematics,,,"['Faustin Adiceam', 'Victor Beresnevich', 'Jason Levesley', 'Sanju Velani', 'Evgeniy Zorin']",Faustin Adiceam,"['Victor Beresnevich', 'Jason Levesley', 'Sanju Velani', 'Evgeniy Zorin']"
76811128,The metrical theory of simultaneously small linear forms,20,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:2osOgNQ5qMEC,Jason Levesley,2013/6/1,Functiones et Approximatio Commentarii Mathematici,,,"['Mumtaz Hussain', 'Jason Levesley']",Mumtaz Hussain,['Jason Levesley']
8870415,A note on simultaneous and multiplicative Diophantine approximation on planar curves,19,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:9yKSN-GCB0IC,Jason Levesley,2007/5/1,Glasgow Mathematical Journal,,,"['Dzmitry Badziahin', 'Jason Levesley']",Dzmitry Badziahin,['Jason Levesley']
68944677,"A converse to linear independence criteria, valid almost everywhere",14,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:WF5omc3nYNoC,Jason Levesley,2015/12/1,The Ramanujan Journal,,,"['Stéphane Fischler', 'Mumtaz Hussain', 'Simon Kristensen', 'Jason Levesley']",Stéphane Fischler,"['Mumtaz Hussain', 'Simon Kristensen', 'Jason Levesley']"
49308718,A quantitative Khintchine-Groshev type theorem over a field of formal series,10,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:UeHWp8X0CEIC,Jason Levesley,2005/6/20,Indagationes Mathematicae,,,"['MM Dodson', 'S Kristensen', 'J Levesley']",MM Dodson,"['S Kristensen', 'J Levesley']"
37978819,A lower bound for the Hausdorff dimension of the set of weighted simultaneously approximable points over manifolds,8,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:3fE2CSJIrl8C,Jason Levesley,2021/9/5,International Journal of Number Theory,,,"['Victor Beresnevich', 'Jason Levesley', 'Ben Ward']",Victor Beresnevich,"['Jason Levesley', 'Ben Ward']"
16558332,An inhomogeneous wave equation and non-linear Diophantine approximation,8,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:IjCSPb-OGe4C,Jason Levesley,2008/1/30,Advances in Mathematics,,,"['Victor Beresnevich', 'MM Dodson', 'Simon Kristensen', 'Jason Levesley']",Victor Beresnevich,"['MM Dodson', 'Simon Kristensen', 'Jason Levesley']"
47092456,The mixed Schmidt conjecture in the theory of Diophantine approximation,7,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:qjMakFHDy7sC,Jason Levesley,2011/7/1,Mathematika,,,"['Dzmitry Badziahin', 'Jason Levesley', 'Sanju Velani']",Dzmitry Badziahin,"['Jason Levesley', 'Sanju Velani']"
29909264,Simultaneous p-adic Diophantine approximation,5,2023,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Absn_qQAAAAJ&citation_for_view=Absn_qQAAAAJ:kNdYIx-mwKoC,Jason Levesley,2023/7/1,Mathematical Proceedings of the Cambridge Philosophical Society,,,"['Victor Beresnevich', 'Jason Levesley', 'Benjamin Ward']",Victor Beresnevich,"['Jason Levesley', 'Benjamin Ward']"
