PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
48331885,Perturbative algebraic quantum field theory,141,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:4TOpqqG69KYC,Kasia Rejzner,2016/1/1,"Math. Phys. Stud., Springer",,,['Kasia Rejzner'],Kasia Rejzner,
34158548,Batalin-Vilkovisky formalism in perturbative algebraic quantum field theory,131,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:u5HHmVD_uO8C,Kasia Rejzner,2013/2/1,Communications in Mathematical Physics,,,"['Klaus Fredenhagen', 'Katarzyna Rejzner']",Klaus Fredenhagen,['Katarzyna Rejzner']
69079206,Batalin-Vilkovisky formalism in the functional approach to classical field theory,97,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:u-x6o8ySG0sC,Kasia Rejzner,2012/8/1,Communications in Mathematical Physics,,,"['Klaus Fredenhagen', 'Katarzyna Rejzner']",Klaus Fredenhagen,['Katarzyna Rejzner']
83833734,Quantum field theory on curved spacetimes: Axiomatic framework and examples,94,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:0EnyYjriUFMC,Kasia Rejzner,2016/3/1,,Journal of Mathematical Physics,,"['Klaus Fredenhagen', 'Kasia Rejzner']",Klaus Fredenhagen,['Kasia Rejzner']
59747846,Quantum gravity from the point of view of locally covariant quantum field theory,83,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:9yKSN-GCB0IC,Kasia Rejzner,2016/8/1,Communications in Mathematical Physics,,,"['Romeo Brunetti', 'Klaus Fredenhagen', 'Katarzyna Rejzner']",Romeo Brunetti,"['Klaus Fredenhagen', 'Katarzyna Rejzner']"
69849022,Algebraic quantum field theory: An introduction,65,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:k_IJM867U9cC,Kasia Rejzner,2020/1/1,,,Progress and Visions in Quantum Theory in View of Gravity: Bridging Foundations of Physics and Mathematics,"['Christopher J Fewster', 'Kasia Rejzner']",Christopher J Fewster,['Kasia Rejzner']
4002608,Perturbative algebraic quantum field theory,42,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:zYLM7Y9cAGgC,Kasia Rejzner,2015/1/1,Mathematical Aspects of Quantum Field Theories,,,"['Klaus Fredenhagen', 'Katarzyna Rejzner']",Klaus Fredenhagen,['Katarzyna Rejzner']
66102518,Batalin-Vilkovisky formalism in locally covariant field theory,40,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:2osOgNQ5qMEC,Kasia Rejzner,2011/11/22,arXiv preprint arXiv:1111.5130,,,['Katarzyna Rejzner'],Katarzyna Rejzner,
15474766,Fermionic fields in the functional approach to classical field theory,37,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:d1gkVwhDpl0C,Kasia Rejzner,2011/10/1,,Reviews in Mathematical Physics,,['Katarzyna Rejzner'],Katarzyna Rejzner,
71640600,Perturbative construction of models of algebraic quantum field theory,33,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:8k81kl-MbHgC,Kasia Rejzner,2015/1/1,Advances in algebraic quantum field theory,,,"['Klaus Fredenhagen', 'Katarzyna Rejzner']",Klaus Fredenhagen,['Katarzyna Rejzner']
67072768,Dimensional regularization in position space and a Forest Formula for Epstein-Glaser renormalization,31,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:Tyk-4Ss8FVUC,Kasia Rejzner,2014/12/1,Journal of Mathematical Physics,,,"['Michael Dütsch', 'Klaus Fredenhagen', 'Kai Johannes Keller', 'Katarzyna Rejzner']",Michael Dütsch,"['Klaus Fredenhagen', 'Kai Johannes Keller', 'Katarzyna Rejzner']"
83640818,Cosmological perturbation theory and quantum gravity,30,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:KlAtU1dfN6UC,Kasia Rejzner,2016/8/1,Journal of High Energy Physics,,,"['Romeo Brunetti', 'Klaus Fredenhagen', 'Thomas-Paul Hack', 'Nicola Pinamonti', 'Katarzyna Rejzner']",Romeo Brunetti,"['Klaus Fredenhagen', 'Thomas-Paul Hack', 'Nicola Pinamonti', 'Katarzyna Rejzner']"
48956455,Local covariance and background independence,30,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ON6HJxoAAAAJ&citation_for_view=ON6HJxoAAAAJ:qjMakFHDy7sC,Kasia Rejzner,2012/1/1,Quantum Field Theory and Gravity: Conceptual and Mathematical Advances in the Search for a Unified Framework,,,"['Klaus Fredenhagen', 'Katarzyna Rejzner']",Klaus Fredenhagen,['Katarzyna Rejzner']
