PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
35057369,On general transformations and variational principles for the magnetohydrodynamics of ideal fluids. Part 2. Stability criteria for two-dimensional flows,50,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUNtYuoAAAAJ&citation_for_view=BUNtYuoAAAAJ:u5HHmVD_uO8C,Konstantin Ilin,1996/12/1,Journal of fluid mechanics,,,"['VA Vladimirov', 'HK Moffatt', 'KI Ilin']",VA Vladimirov,"['HK Moffatt', 'KI Ilin']"
63539415,The three-dimensional stability of steady magnetohydrodynamic flows of an ideal fluid,35,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUNtYuoAAAAJ&citation_for_view=BUNtYuoAAAAJ:d1gkVwhDpl0C,Konstantin Ilin,1998/12/1,Physics of Plasmas,,,"['VA Vladimirov', 'KI Ilin']",VA Vladimirov,['KI Ilin']
15722132,On general transformations and variational principles for the magnetohydrodynamics of ideal fluids. Part 4. Generalized isovorticity principle for three-dimensional flows,32,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUNtYuoAAAAJ&citation_for_view=BUNtYuoAAAAJ:u-x6o8ySG0sC,Konstantin Ilin,1999/7/1,Journal of fluid mechanics,,,"['VA Vladimirov', 'HK Moffatt', 'KI Ilin']",VA Vladimirov,"['HK Moffatt', 'KI Ilin']"
56039711,On general transformations and variational principles for the magnetohydrodynamics of ideal fluids. Part III. Stability criteria for axisymmetric flows,28,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUNtYuoAAAAJ&citation_for_view=BUNtYuoAAAAJ:2osOgNQ5qMEC,Konstantin Ilin,1997/1/1,Journal of plasma physics,,,"['VA Vladimirov', 'HK Moffatt', 'KI Ilin']",VA Vladimirov,"['HK Moffatt', 'KI Ilin']"
8572411,Viscous boundary layers in flows through a domain with permeable boundary,27,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUNtYuoAAAAJ&citation_for_view=BUNtYuoAAAAJ:qjMakFHDy7sC,Konstantin Ilin,2008/9/1,European Journal of Mechanics-B/Fluids,,,['K Ilin'],K Ilin,
40217538,Dynamics of a rolling robot,22,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUNtYuoAAAAJ&citation_for_view=BUNtYuoAAAAJ:mB3voiENLucC,Konstantin Ilin,2017/12/5,Proceedings of the National Academy of Sciences,,,"['KI Ilin', 'HK Moffatt', 'VA Vladimirov']",KI Ilin,"['HK Moffatt', 'VA Vladimirov']"
87687364,Instability of an inviscid flow between porous cylinders with radial flow,21,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUNtYuoAAAAJ&citation_for_view=BUNtYuoAAAAJ:4TOpqqG69KYC,Konstantin Ilin,2013/9/1,Journal of Fluid Mechanics,,,"['Konstantin Ilin', 'Andrey Morgulis']",Konstantin Ilin,['Andrey Morgulis']
73348876,Instability of a two-dimensional viscous flow in an annulus with permeable walls to two-dimensional perturbations,17,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUNtYuoAAAAJ&citation_for_view=BUNtYuoAAAAJ:mVmsd5A6BfQC,Konstantin Ilin,2015/4/1,Physics of Fluids,,,"['Konstantin Ilin', 'Andrey Morgulis']",Konstantin Ilin,['Andrey Morgulis']
98447061,The stability of steady magnetohydrodynamic flows with current-vortex sheets,17,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUNtYuoAAAAJ&citation_for_view=BUNtYuoAAAAJ:UeHWp8X0CEIC,Konstantin Ilin,2003/7/1,Physics of Plasmas,,,"['KI Ilin', 'YL Trakhinin', 'Vladimir A Vladimirov']",KI Ilin,"['YL Trakhinin', 'Vladimir A Vladimirov']"
8139221,Energy principle for magnetohydrodynamic flows and Bogoyavlenskij’s transformation,16,2004,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=BUNtYuoAAAAJ&citation_for_view=BUNtYuoAAAAJ:9yKSN-GCB0IC,Konstantin Ilin,2004/7/1,Physics of plasmas,,,"['KI Ilin', 'VA Vladimirov']",KI Ilin,['VA Vladimirov']
