PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
63883162,Differential dynamic microscopy: A high-throughput method for characterizing the motility of microorganisms,142,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:Zph67rFs4hoC,Martin Bees,2012/10/17,Biophysical journal,,,"['Vincent A Martinez', 'Rut Besseling', 'Ottavio A Croze', 'Julien Tailleur', 'Mathias Reufer', 'Jana Schwarz-Linek', 'Laurence G Wilson', 'Martin A Bees', 'Wilson CK Poon']",Vincent A Martinez,"['Rut Besseling', 'Ottavio A Croze', 'Julien Tailleur', 'Mathias Reufer', 'Jana Schwarz-Linek', 'Laurence G Wilson', 'Martin A Bees', 'Wilson CK Poon']"
77645701,Wavelengths of bioconvection patterns,130,1997,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:u5HHmVD_uO8C,Martin Bees,1997/5/1,Journal of experimental biology,,,"['Martin Alan Bees', 'NA Hill']",Martin Alan Bees,['NA Hill']
89183494,"Linear bioconvection in a suspension of randomly swimming, gyrotactic micro-organisms",98,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:d1gkVwhDpl0C,Martin Bees,1998/8/1,Physics of Fluids,,,"['Martin Alan Bees', 'NA Hill']",Martin Alan Bees,['NA Hill']
52964608,Taylor dispersion of gyrotactic swimming micro-organisms in a linear flow,95,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:qjMakFHDy7sC,Martin Bees,2002/8/1,Physics of Fluids,,,"['NA Hill', 'MA Bees']",NA Hill,['MA Bees']
75039117,Generic dynamics of a simple plankton population model with a non-integer exponent of closure,94,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:u-x6o8ySG0sC,Martin Bees,2001/1/2,"Chaos, Solitons & Fractals",,,"['Andrew M Edwards', 'Martin A Bees']",Andrew M Edwards,['Martin A Bees']
33911812,Dispersion of swimming algae in laminar and turbulent channel flows: consequences for photobioreactors,85,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:qxL8FJ1GzNcC,Martin Bees,2013/2/13,Journal of the Royal Society Interface,,,"['Ottavio A Croze', 'Gaetano Sardina', 'Mansoor Ahmed', 'Martin A Bees', 'Luca Brandt']",Ottavio A Croze,"['Gaetano Sardina', 'Mansoor Ahmed', 'Martin A Bees', 'Luca Brandt']"
59099724,Plankton blooms induced by turbulent flows,72,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:IjCSPb-OGe4C,Martin Bees,2003/4/22,Proceedings of the Royal Society of London. Series B: Biological Sciences,,,"['R Reigada', 'RM Hillary', 'MA Bees', 'JM Sancho', 'F Sagués']",R Reigada,"['RM Hillary', 'MA Bees', 'JM Sancho', 'F Sagués']"
26551606,A tale of three taxes: photo-gyro-gravitactic bioconvection,68,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:0EnyYjriUFMC,Martin Bees,2011/7/15,Journal of Experimental Biology,,,"['C Rosie Williams', 'Martin Alan Bees']",C Rosie Williams,['Martin Alan Bees']
92263428,Advances in bioconvection,67,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:3s1wT3WcHBgC,Martin Bees,2020/1/5,,Annual Review of Fluid Mechanics,,['Martin A Bees'],Martin A Bees,
87433524,Analytical approximations for the orientation distribution of small dipolar particles in steady shear flows,63,1998,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:2osOgNQ5qMEC,Martin Bees,1998/2/1,Journal of Mathematical Biology,,,"['Martin Alan Bees', 'NA Hill', 'TJ Pedley']",Martin Alan Bees,"['NA Hill', 'TJ Pedley']"
79851282,The orientation of swimming biflagellates in shear flows,60,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:5nxA0vEk-isC,Martin Bees,2012/1/1,Bulletin of mathematical biology,,,"['Stephen O’Malley', 'Martin A Bees']",Stephen O’Malley,['Martin A Bees']
34911748,Biased swimming cells do not disperse in pipes as tracers: a population model based on microscale behaviour,55,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:4DMP91E08xMC,Martin Bees,2012/12/1,Physics of fluids,,,"['Rachel N Bearon', 'MA Bees', 'OA Croze']",Rachel N Bearon,"['MA Bees', 'OA Croze']"
3843755,"The interaction of thin-film flow, bacterial swarming and cell differentiation in colonies of Serratia liquefaciens",53,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:9yKSN-GCB0IC,Martin Bees,2000/1/1,Journal of mathematical biology,,,"['Martin Alan Bees', 'P Andresen', 'Erik Mosekilde', 'M Givskov']",Martin Alan Bees,"['P Andresen', 'Erik Mosekilde', 'M Givskov']"
91930304,Photo-gyrotactic bioconvection,51,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:3fE2CSJIrl8C,Martin Bees,2011/7/1,Journal of fluid mechanics,,,"['CR Williams', 'MA Bees']",CR Williams,['MA Bees']
72196772,The luminance–response function of the human photopic electroretinogram: A mathematical model,51,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:roLk4NBRz8UC,Martin Bees,2007/10/1,Vision research,,,"['Ruth Hamilton', 'MA Bees', 'Caroline A Chaplin', 'Daphne L McCulloch']",Ruth Hamilton,"['MA Bees', 'Caroline A Chaplin', 'Daphne L McCulloch']"
73143369,Dispersion of biased swimming micro-organisms in a fluid flowing through a tube,48,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:8k81kl-MbHgC,Martin Bees,2010/7/8,"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",,,"['Martin A Bees', 'Ottavio A Croze']",Martin A Bees,['Ottavio A Croze']
27324055,Pattern formation in the Methylene-Blue Glucose system.,45,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:Y0pCki6q_DkC,Martin Bees,2000/1/1,J. Phys. Chem,,,"['AJ Pons', 'PG Sorenson', 'MA Bees', 'F Sagués']",AJ Pons,"['PG Sorenson', 'MA Bees', 'F Sagués']"
46859968,Mathematics for streamlined biofuel production from unicellular algae,44,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:RHpTSmoSYBkC,Martin Bees,2014/1/1,Biofuels,,,"['Martin A Bees', 'Ottavio A Croze']",Martin A Bees,['Ottavio A Croze']
89709150,Non-linear bioconvection in a deep suspension of gyrotactic swimming micro-organisms,40,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:Tyk-4Ss8FVUC,Martin Bees,1999/2/1,Journal of Mathematical Biology,,,"['MA Bees', 'NA Hill']",MA Bees,['NA Hill']
9445178,Unexpected bipolar flagellar arrangements and long-range flows driven by bacteria near solid boundaries,37,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&citation_for_view=i84HsBgAAAAJ:YsMSGLbcyi4C,Martin Bees,2008/10/16,Physical review letters,,,"['Luis H Cisneros', 'John O Kessler', 'Ricardo Ortiz', 'Ricardo Cortez', 'Martin A Bees']",Luis H Cisneros,"['John O Kessler', 'Ricardo Ortiz', 'Ricardo Cortez', 'Martin A Bees']"
85859836,Chemoconvection: A chemically driven hydrodynamic instability,37,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=i84HsBgAAAAJ&cstart=20&pagesize=80&citation_for_view=i84HsBgAAAAJ:eQOLeE2rZwMC,Martin Bees,2001/1/22,The Journal of Chemical Physics,,,"['MA Bees', 'AJ Pons', 'PG Sørensen', 'F Sagués']",MA Bees,"['AJ Pons', 'PG Sørensen', 'F Sagués']"
