PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
70766848,On the reality of the quantum state,936,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:u5HHmVD_uO8C,Matthew F. Pusey,2012/6/1,Nature Physics,,,"['Matthew F Pusey', 'Jonathan Barrett', 'Terry Rudolph']",Matthew F Pusey,"['Jonathan Barrett', 'Terry Rudolph']"
30154618,Anomalous weak values are proofs of contextuality,204,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:W7OEmFMy1HYC,Matthew F. Pusey,2014/11/12,Physical Review Letters,,,['Matthew F Pusey'],Matthew F Pusey,
35956261,Theory-independent limits on correlations from generalized Bayesian networks,189,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:Y0pCki6q_DkC,Matthew F. Pusey,2014/11/1,New Journal of Physics,,,"['Joe Henson', 'Raymond Lal', 'Matthew F Pusey']",Joe Henson,"['Raymond Lal', 'Matthew F Pusey']"
79342621,Quantum Steering Ellipsoids,189,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:YsMSGLbcyi4C,Matthew F. Pusey,2014/7/8,Physical Review Letters,,,"['Sania Jevtic', 'Matthew Pusey', 'David Jennings', 'Terry Rudolph']",Sania Jevtic,"['Matthew Pusey', 'David Jennings', 'Terry Rudolph']"
73893136,Negativity and steering: A stronger Peres conjecture,176,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:2osOgNQ5qMEC,Matthew F. Pusey,2013/9/13,Physical Review A,,,['Matthew F Pusey'],Matthew F Pusey,
91957182,An experimental test of noncontextuality without unphysical idealizations,123,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:hqOjcs7Dif8C,Matthew F. Pusey,2016/6/13,Nature Communications,,,"['Michael D Mazurek', 'Matthew F Pusey', 'Ravi Kunjwal', 'Kevin J Resch', 'Robert W Spekkens']",Michael D Mazurek,"['Matthew F Pusey', 'Ravi Kunjwal', 'Kevin J Resch', 'Robert W Spekkens']"
88209118,Is a time symmetric interpretation of quantum theory possible without retrocausality?,118,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:5nxA0vEk-isC,Matthew F. Pusey,2017/6/1,Proc. R. Soc. A,,,"['Matthew S Leifer', 'Matthew F Pusey']",Matthew S Leifer,['Matthew F Pusey']
34416943,Algorithmic construction of local hidden variable models for entangled quantum states,72,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:UebtZRa9Y70C,Matthew F. Pusey,2016/11/4,Physical Review Letters,,,"['Flavien Hirsch', 'Marco Túlio Quintino', 'Tamás Vértesi', 'Matthew F Pusey', 'Nicolas Brunner']",Flavien Hirsch,"['Marco Túlio Quintino', 'Tamás Vértesi', 'Matthew F Pusey', 'Nicolas Brunner']"
65165426,Verifying the quantumness of a channel with an untrusted device,66,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:ufrVoPGSRksC,Matthew F. Pusey,2015/4/1,JOSA B,,,['Matthew F Pusey'],Matthew F Pusey,
20126269,Can a quantum state over time resemble a quantum state at a single time?,64,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:0EnyYjriUFMC,Matthew F. Pusey,2017/9/1,Proc. R. Soc. A,,,"['Dominic Horsman', 'Chris Heunen', 'Matthew F Pusey', 'Jonathan Barrett', 'Robert W Spekkens']",Dominic Horsman,"['Chris Heunen', 'Matthew F Pusey', 'Jonathan Barrett', 'Robert W Spekkens']"
91585546,"Anomalous weak values and contextuality: robustness, tightness, and imaginary parts",54,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:_kc_bZDykSQC,Matthew F. Pusey,2019/10/21,Physical Review A,,,"['Ravi Kunjwal', 'Matteo Lostaglio', 'Matthew F Pusey']",Ravi Kunjwal,"['Matteo Lostaglio', 'Matthew F Pusey']"
66278191,Experimentally Bounding Deviations From Quantum Theory in the Landscape of Generalized Probabilistic Theories,37,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:RHpTSmoSYBkC,Matthew F. Pusey,2021/4/2,PRX Quantum,,,"['Michael D Mazurek', 'Matthew F Pusey', 'Kevin J Resch', 'Robert W Spekkens']",Michael D Mazurek,"['Matthew F Pusey', 'Kevin J Resch', 'Robert W Spekkens']"
17851700,Robust preparation noncontextuality inequalities in the simplest scenario,35,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:MXK_kJrjxJIC,Matthew F. Pusey,2018/8/7,Physical Review A,,,['Matthew F Pusey'],Matthew F Pusey,
99599593,Stabilizer notation for Spekkens’ toy theory,35,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:d1gkVwhDpl0C,Matthew F. Pusey,2012/5/1,Foundations of Physics,,,['Matthew F Pusey'],Matthew F Pusey,
518519,Can different quantum state vectors correspond to the same physical state? An experimental test,32,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:9yKSN-GCB0IC,Matthew F. Pusey,2015/12/23,New Journal of Physics,,,"['Daniel Nigg', 'Thomas Monz', 'Philipp Schindler', 'Esteban A Martinez', 'Markus Hennrich', 'Rainer Blatt', 'Matthew F Pusey', 'Terry Rudolph', 'Jonathan Barrett']",Daniel Nigg,"['Thomas Monz', 'Philipp Schindler', 'Esteban A Martinez', 'Markus Hennrich', 'Rainer Blatt', 'Matthew F Pusey', 'Terry Rudolph', 'Jonathan Barrett']"
54371433,A structure theorem for generalized-noncontextual ontological models,31,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:TQgYirikUcIC,Matthew F. Pusey,2020/5/14,arXiv preprint arXiv:2005.07161,,,"['David Schmid', 'John H Selby', 'Matthew F Pusey', 'Robert W Spekkens']",David Schmid,"['John H Selby', 'Matthew F Pusey', 'Robert W Spekkens']"
53388720,Logical pre-and post-selection paradoxes are proofs of contextuality,27,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:LkGwnXOMwfcC,Matthew F. Pusey,2015/6/25,Electron. Proc. Theor. Comput. Sci.,,,"['Matthew F Pusey', 'Matthew S Leifer']",Matthew F Pusey,['Matthew S Leifer']
79375324,An inconsistent friend,23,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:ULOm3_A8WrAC,Matthew F. Pusey,2018/10/1,Nature Physics,,,['Matthew F Pusey'],Matthew F Pusey,
31835921,Uniqueness of noncontextual models for stabilizer subtheories,18,2022,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:4JMBOYKVnBMC,Matthew F. Pusey,2022/9/14,Physical Review Letters,,,"['David Schmid', 'Haoxing Du', 'John H Selby', 'Matthew F Pusey']",David Schmid,"['Haoxing Du', 'John H Selby', 'Matthew F Pusey']"
45865404,Why protective measurement does not establish the reality of the quantum state,18,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&citation_for_view=XeqvafYAAAAJ:Se3iqnhoufwC,Matthew F. Pusey,2018/6/1,Quantum Studies: Mathematics and Foundations,,,"['Joshua Combes', 'Christopher Ferrie', 'Matthew S Leifer', 'Matthew F Pusey']",Joshua Combes,"['Christopher Ferrie', 'Matthew S Leifer', 'Matthew F Pusey']"
85201464,Contextuality without access to a tomographically complete set,6,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&cstart=20&pagesize=80&citation_for_view=XeqvafYAAAAJ:mVmsd5A6BfQC,Matthew F. Pusey,2019/4/18,arXiv preprint arXiv:1904.08699,,,"['Matthew F Pusey', 'Lidia Del Rio', 'Bettina Meyer']",Matthew F Pusey,"['Lidia Del Rio', 'Bettina Meyer']"
58489237,Quantum Correlations Take a New Shape,4,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&cstart=20&pagesize=80&citation_for_view=XeqvafYAAAAJ:HDshCWvjkbEC,Matthew F. Pusey,2019/9/30,Physics,,,['Matthew F Pusey'],Matthew F Pusey,
30843777,Is quantum steering spooky?,3,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&cstart=20&pagesize=80&citation_for_view=XeqvafYAAAAJ:3fE2CSJIrl8C,Matthew F. Pusey,2013/9/1,,,,['Matthew Fairbairn Pusey'],Matthew Fairbairn Pusey,
78002222,A few connections between Quantum Computation and Quantum Non-Locality,2,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&cstart=20&pagesize=80&citation_for_view=XeqvafYAAAAJ:KlAtU1dfN6UC,Matthew F. Pusey,2010/12/16,,,,['Matthew Pusey'],Matthew Pusey,
40090935,Quantum lost property: A possible operational meaning for the Hilbert-Schmidt product,1,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=XeqvafYAAAAJ&cstart=20&pagesize=80&citation_for_view=XeqvafYAAAAJ:UeHWp8X0CEIC,Matthew F. Pusey,2012/10/18,Physical Review A,,,"['Matthew F Pusey', 'Terry Rudolph']",Matthew F Pusey,['Terry Rudolph']
