PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
24781394,A geometric approach to complete reducibility,115,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:u5HHmVD_uO8C,Michael Bate,2005/7/1,Inventiones mathematicae,,,"['Michael Bate', 'Benjamin Martin', 'Gerhard Röhrle']",Michael Bate,"['Benjamin Martin', 'Gerhard Röhrle']"
62433797,Complete reducibility and separability,58,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:u-x6o8ySG0sC,Michael Bate,2010/8/1,Transactions of the American Mathematical Society,,,"['Michael Bate', 'Benjamin Martin', 'Gerhard Röhrle', 'Rudolf Tange']",Michael Bate,"['Benjamin Martin', 'Gerhard Röhrle', 'Rudolf Tange']"
99427377,Closed orbits and uniform 𝑆-instability in geometric invariant theory,49,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:d1gkVwhDpl0C,Michael Bate,2013/7/1,Transactions of the American Mathematical Society,,,"['Michael Bate', 'Benjamin Martin', 'Gerhard Röhrle', 'Rudolf Tange']",Michael Bate,"['Benjamin Martin', 'Gerhard Röhrle', 'Rudolf Tange']"
34159831,Cocharacter-closure and the rational Hilbert–Mumford theorem,23,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:4TOpqqG69KYC,Michael Bate,2017/10/1,Mathematische Zeitschrift,,,"['Michael Bate', 'Sebastian Herpel', 'Benjamin Martin', 'Gerhard Röhrle']",Michael Bate,"['Sebastian Herpel', 'Benjamin Martin', 'Gerhard Röhrle']"
99034206,Complete reducibility and commuting subgroups,18,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:qjMakFHDy7sC,Michael Bate,2008/8/1,,,,"['Michael Bate', 'Benjamin Martin', 'Gerhard Röhrle']",Michael Bate,"['Benjamin Martin', 'Gerhard Röhrle']"
71294292,Complete reducibility and conjugacy classes of tuples in algebraic groups and Lie algebras,15,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:IjCSPb-OGe4C,Michael Bate,2011/12/1,Mathematische Zeitschrift,,,"['Michael Bate', 'Benjamin Martin', 'Gerhard Röhrle', 'Rudolf Tange']",Michael Bate,"['Benjamin Martin', 'Gerhard Röhrle', 'Rudolf Tange']"
71748770,Complete reducibility and separable field extensions,14,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:UeHWp8X0CEIC,Michael Bate,2010/1/1,Comptes Rendus. Mathématique,,,"['Michael Bate', 'Benjamin Martin', 'Gerhard Röhrle']",Michael Bate,"['Benjamin Martin', 'Gerhard Röhrle']"
53251989,G‐complete reducibility and semisimple modules,11,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:Tyk-4Ss8FVUC,Michael Bate,2011/12/1,Bulletin of the London Mathematical Society,,,"['Michael Bate', 'Sebastian Herpel', 'Benjamin Martin', 'Gerhard Röhrle']",Michael Bate,"['Sebastian Herpel', 'Benjamin Martin', 'Gerhard Röhrle']"
5558086,The number of homomorphisms from finite groups to classical groups,11,2007,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:eQOLeE2rZwMC,Michael Bate,2007/2/15,Journal of Algebra,,,['Michael Bate'],Michael Bate,
35458897,Cocharacter-closure and spherical buildings,10,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:Wp0gIr-vW9MC,Michael Bate,2015/12/21,Pacific Journal of Mathematics,,,"['Michael Bate', 'Sebastian Herpel', 'Benjamin Martin', 'Gerhard Röhrle']",Michael Bate,"['Sebastian Herpel', 'Benjamin Martin', 'Gerhard Röhrle']"
76099035,On a question of Külshammer for representations of finite groups in reductive groups,9,2016,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:qxL8FJ1GzNcC,Michael Bate,2016/7/1,Israel Journal of Mathematics,,,"['Michael Bate', 'Benjamin Martin', 'Gerhard Röhrle']",Michael Bate,"['Benjamin Martin', 'Gerhard Röhrle']"
48810068,Orbit closures and invariants,8,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:QIV2ME_5wuYC,Michael Bate,2019/12/1,Mathematische Zeitschrift,,,"['Michael Bate', 'Haralampos Geranios', 'Benjamin Martin']",Michael Bate,"['Haralampos Geranios', 'Benjamin Martin']"
78997075,The strong Centre Conjecture: an invariant theory approach,8,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:YsMSGLbcyi4C,Michael Bate,2012/12/15,Journal of Algebra,,,"['Michael Bate', 'Benjamin Martin', 'Gerhard Röhrle']",Michael Bate,"['Benjamin Martin', 'Gerhard Röhrle']"
36941471,On Tits' Centre Conjecture for fixed point subcomplexes,8,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:9yKSN-GCB0IC,Michael Bate,2009/4/1,Comptes Rendus Mathematique,,,"['Michael Bate', 'Benjamin Martin', 'Gerhard Röhrle']",Michael Bate,"['Benjamin Martin', 'Gerhard Röhrle']"
90858803,Cutoff for a one-sided transposition shuffle,5,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=ggtxGsgAAAAJ&citation_for_view=ggtxGsgAAAAJ:hC7cP41nSMkC,Michael Bate,2021/8/1,The Annals of Applied Probability,,,"['Michael E Bate', 'Stephen B Connor', 'Oliver Matheau-Raven']",Michael E Bate,"['Stephen B Connor', 'Oliver Matheau-Raven']"
