PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
46310741,Introduction to Yangian symmetry in integrable field theory,158,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:d1gkVwhDpl0C,Niall MacKay,2005/12/10,International Journal of Modern Physics A,,,['NJ MacKay'],NJ MacKay,
89982057,Quantum group symmetry in sine-Gordon and affine Toda field theories on the half-line,115,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:Se3iqnhoufwC,Niall MacKay,2003/2/1,Communications in Mathematical Physics,,,"['Gustav W Delius', 'Niall J MacKay']",Gustav W Delius,['Niall J MacKay']
15121252,Local conserved charges in principal chiral models,102,1999,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:hMod-77fHWUC,Niall MacKay,1999/11/15,Nuclear Physics B,,,"['JM Evans', 'M Hassan', 'NJ MacKay', 'AJ Mountain']",JM Evans,"['M Hassan', 'NJ MacKay', 'AJ Mountain']"
92543320,On the classical origins of Yangian symmetry in integrable field theory,101,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:M3NEmzRMIkIC,Niall MacKay,1992/5/7,Physics Letters B,,,['NJ MacKay'],NJ MacKay,
6062347,Scaling of human body mass with height: The body mass index revisited,72,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:2P1L_qKh6hAC,Niall MacKay,2010/3/3,Journal of Biomechanics,,,['Niall J Mackay'],Niall J Mackay,
53970087,Fight the power: Lanchester's laws of combat in human evolution,71,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:e5wmG9Sq2KIC,Niall MacKay,2015/3/1,Evolution and Human Behavior,,,"['Dominic DP Johnson', 'Niall J MacKay']",Dominic DP Johnson,['Niall J MacKay']
10192965,Lanchester combat models,70,2006,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:iH-uZ7U-co4C,Niall MacKay,2006/6/13,arXiv preprint math/0606300,,,['Niall J MacKay'],Niall J MacKay,
46616190,Boundary remnant of Yangian symmetry and the structure of rational reflection matrices,68,2001,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:aqlVkmm33-oC,Niall MacKay,2001/12/13,Physics Letters B,,,"['GW Delius', 'NJ MacKay', 'BJ Short']",GW Delius,"['NJ MacKay', 'BJ Short']"
68680511,Affine Toda solitons and automorphisms of Dynkin diagrams,58,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:HoB7MX3m0LUC,Niall MacKay,1993/6/30,International Journal of Modern Physics A,,,"['Niall J MacKay', 'William A McGhee']",Niall J MacKay,['William A McGhee']
40267465,"Boundary scattering, symmetric spaces and the principal chiral model on the half-line",53,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:-f6ydRqryjwC,Niall MacKay,2003/2/1,Communications in Mathematical Physics,,,"['NJ MacKay', 'BJ Short']",NJ MacKay,['BJ Short']
25443493,Conserved charges and supersymmetry in principal chiral and WZW models,52,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:vV6vV6tmYwMC,Niall MacKay,2000/8/7,Nuclear Physics B,,,"['JM Evans', 'M Hassan', 'NJ MacKay', 'AJ Mountain']",JM Evans,"['M Hassan', 'NJ MacKay', 'AJ Mountain']"
65107918,Rational R-matrices in irreducible representations,49,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:Y0pCki6q_DkC,Niall MacKay,1991/9/7,Journal of Physics A: Mathematical and General,,,['NJ MacKay'],NJ MacKay,
83104760,Lanchester models and the battle of Britain,47,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:GnPB-g6toBAC,Niall MacKay,2011/4/1,Naval Research Logistics (NRL),,,"['Ian R Johnson', 'Niall J MacKay']",Ian R Johnson,['Niall J MacKay']
2381232,Rational K-matrices and representations of twisted Yangians,42,2002,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:J_g5lzvAfSwC,Niall MacKay,2002/9/4,Journal of Physics A: Mathematical and General,,,['Niall J MacKay'],Niall J MacKay,
8290909,Twisted algebra R-matrices and S-matrices for b_n^(1) affine Toda solitons and their bound states,36,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:ufrVoPGSRksC,Niall MacKay,1996/4/15,Nuclear Physics B,,,"['GM Gandenberger', 'NJ MacKay', 'GMT Watts']",GM Gandenberger,"['NJ MacKay', 'GMT Watts']"
46506152,New factorized S-matrices associated with SO(N),36,1991,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:lSLTfruPkqcC,Niall MacKay,1991/6/17,Nuclear Physics B,,,['NJ MacKay'],NJ MacKay,
85748361,Lanchester models for mixed forces with semi-dynamical target allocation,33,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:hqOjcs7Dif8C,Niall MacKay,2009/10/1,Journal of the Operational Research Society,,,['Niall J MacKay'],Niall J MacKay,
75358946,Yangian symmetry of the Y= 0 maximal giant graviton,29,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:_kc_bZDykSQC,Niall MacKay,2010/12/1,Journal of High Energy Physics,,,"['Niall MacKay', 'Vidas Regelskis']",Niall MacKay,['Vidas Regelskis']
51859281,Exact S-matrices for d^(2)_{n+1} affine Toda solitons and their bound states,29,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:IjCSPb-OGe4C,Niall MacKay,1995/12/18,Nuclear Physics B,,,"['GM Gandenberger', 'NJ MacKay']",GM Gandenberger,['NJ MacKay']
74088505,Achiral boundaries and the twisted Yangian of the D5-brane,28,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&citation_for_view=r_eGXGkAAAAJ:MXK_kJrjxJIC,Niall MacKay,2011/8/1,Journal of High Energy Physics,,,"['Niall MacKay', 'Vidas Regelskis']",Niall MacKay,['Vidas Regelskis']
99538701,The optimal policy for the one-against-many heterogeneous Lanchester model,27,2014,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&cstart=20&pagesize=80&citation_for_view=r_eGXGkAAAAJ:k_IJM867U9cC,Niall MacKay,2014/9/1,Operations Research Letters,,,"['Kyle Y Lin', 'Niall J MacKay']",Kyle Y Lin,['Niall J MacKay']
52692802,"When Lanchester met Richardson, the outcome was stalemate: A parable for mathematical models of insurgency",26,2015,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&cstart=20&pagesize=80&citation_for_view=r_eGXGkAAAAJ:YOwf2qJgpHMC,Niall MacKay,2015/2/1,,Journal of the Operational Research Society,,['Niall J MacKay'],Niall J MacKay,
67990278,"Mass scale and curvature in metabolic scaling. comment on: T. Kolokotrones et al., Curvature in metabolic scaling, Nature 464 (2010) 753-756",24,2011,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&cstart=20&pagesize=80&citation_for_view=r_eGXGkAAAAJ:j3f4tGmQtD8C,Niall MacKay,2011/1/1,Journal of Theoretical Biology,,,['Niall J MacKay'],Niall J MacKay,
9052412,Quantum mass corrections for affine Toda solitons,22,1995,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&cstart=20&pagesize=80&citation_for_view=r_eGXGkAAAAJ:_Qo2XoVZTnwC,Niall MacKay,1995/5/8,Nuclear Physics B,,,"['NJ MacKay', 'GMT Watts']",NJ MacKay,['GMT Watts']
91963411,"Q (') f dxj'~(x) 篆 abc f dxjg (x) dyj~(y), Yl, y2--.~",21,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&cstart=20&pagesize=80&citation_for_view=r_eGXGkAAAAJ:abG-DnoFyZgC,Niall MacKay,1993/1/1,Physics Letters B,,,['NJ MacKay'],NJ MacKay,
41200852,The full set of c_n-invariant factorized S-matrices,21,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&cstart=20&pagesize=80&citation_for_view=r_eGXGkAAAAJ:9yKSN-GCB0IC,Niall MacKay,1992/12/21,Journal of Physics A: Mathematical and General,,,['Niall J MacKay'],Niall J MacKay,
29666801,The attrition dynamics of multilateral war,20,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&cstart=20&pagesize=80&citation_for_view=r_eGXGkAAAAJ:L8Ckcad2t8MC,Niall MacKay,2018/8/1,Operations Research,,,"['Moshe Kress', 'Kyle Y Lin', 'Niall J MacKay']",Moshe Kress,"['Kyle Y Lin', 'Niall J MacKay']"
71101392,"Quantum, higher-spin, local charges in symmetric space sigma models",19,2005,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=r_eGXGkAAAAJ&cstart=20&pagesize=80&citation_for_view=r_eGXGkAAAAJ:7PzlFSSx8tAC,Niall MacKay,2005/2/23,Journal of High Energy Physics,,,"['Jonathan M Evans', 'David Kagan', 'Charles AS Young', 'Niall J MacKay']",Jonathan M Evans,"['David Kagan', 'Charles AS Young', 'Niall J MacKay']"
