PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
34170542,All mutually unbiased bases in dimensions two to five,120,2010,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tpPPHnMAAAAJ&citation_for_view=tpPPHnMAAAAJ:35N4QoGY0k4C,Stefan Weigert,2010/1/1,Quantum Information and Computation,,,"['Stephen Brierley', 'Stefan Weigert', 'Ingemar Bengtsson']",Stephen Brierley,"['Stefan Weigert', 'Ingemar Bengtsson']"
66484412,Constructing Mutually Unbiased Bases in Dimension Six,110,2009,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tpPPHnMAAAAJ&citation_for_view=tpPPHnMAAAAJ:sSrBHYA8nusC,Stefan Weigert,2009/1/1,Phys. Rev. A,,,"['S Brierley', 'S Weigert']",S Brierley,['S Weigert']
29799106,Maximal sets of mutually unbiased quantum states in dimension 6,110,2008,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tpPPHnMAAAAJ&citation_for_view=tpPPHnMAAAAJ:9yKSN-GCB0IC,Stefan Weigert,2008/10/13,Physical Review A,,,"['Stephen Brierley', 'Stefan Weigert']",Stephen Brierley,['Stefan Weigert']
16779376,The problem of quantum integrability,96,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tpPPHnMAAAAJ&citation_for_view=tpPPHnMAAAAJ:UeHWp8X0CEIC,Stefan Weigert,1992/4/1,Physica D: Nonlinear Phenomena,,,['Stefan Weigert'],Stefan Weigert,
89495457,Frequency shifts of cantilevers vibrating in various media,86,1996,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tpPPHnMAAAAJ&citation_for_view=tpPPHnMAAAAJ:u-x6o8ySG0sC,Stefan Weigert,1996/11/4,Applied Physics Letters,,,"['Stefan Weigert', 'Markus Dreier', 'Martin Hegner']",Stefan Weigert,"['Markus Dreier', 'Martin Hegner']"
95535244,Completeness and orthonormality in PT-symmetric quantum systems,82,2003,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tpPPHnMAAAAJ&citation_for_view=tpPPHnMAAAAJ:kNdYIx-mwKoC,Stefan Weigert,2003/12/30,Physical Review A,,,['Stefan Weigert'],Stefan Weigert,
26037306,Quantum time evolution in terms of nonredundant probabilities,81,2000,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tpPPHnMAAAAJ&citation_for_view=tpPPHnMAAAAJ:u5HHmVD_uO8C,Stefan Weigert,2000/1/31,Physical Review Letters,,,['Stefan Weigert'],Stefan Weigert,
89083050,Pauli problem for a spin of arbitrary length: A simple method to determine its wave function,77,1992,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tpPPHnMAAAAJ&citation_for_view=tpPPHnMAAAAJ:qjMakFHDy7sC,Stefan Weigert,1992/6/1,Physical Review A,,,['Stefan Weigert'],Stefan Weigert,
42895926,Adiabatic motion of a neutral spinning particle in an inhomogeneous magnetic field,68,1993,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tpPPHnMAAAAJ&citation_for_view=tpPPHnMAAAAJ:d1gkVwhDpl0C,Stefan Weigert,1993/8/1,Physical Review A,,,"['Robert G Littlejohn', 'Stefan Weigert']",Robert G Littlejohn,['Stefan Weigert']
36824843,All mutually unbiased product bases in dimension 6,65,2012,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tpPPHnMAAAAJ&citation_for_view=tpPPHnMAAAAJ:olpn-zPbct0C,Stefan Weigert,2012/3/20,Journal of Physics A: Mathematical and Theoretical,,,"['Daniel McNulty', 'Stefan Weigert']",Daniel McNulty,['Stefan Weigert']
