PaperID,Title,Citations,Year,Paper url,Google Scholar profile name,Publication date,Journal,Source,Conference,Authors,Primary author,Supporting authors
33461872,Wind-driven optimization technique for estimation of solar photovoltaic parameters,75,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FvXKYFQAAAAJ&citation_for_view=FvXKYFQAAAAJ:roLk4NBRz8UC,Richard Binns,2017/12/7,IEEE Journal of Photovoltaics,,,"['Derick Mathew', 'Chinnappa Rani', 'Muthu Rajesh Kumar', 'Yue Wang', 'Richard Binns', 'Krishna Busawon']",Derick Mathew,"['Chinnappa Rani', 'Muthu Rajesh Kumar', 'Yue Wang', 'Richard Binns', 'Krishna Busawon']"
24993085,Robust neural network fault estimation approach for nonlinear dynamic systems with applications to wind turbine systems,71,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FvXKYFQAAAAJ&citation_for_view=FvXKYFQAAAAJ:IWHjjKOFINEC,Richard Binns,2019/1/17,IEEE Transactions on Industrial Informatics,,,"['Reihane Rahimilarki', 'Zhiwei Gao', 'Aihua Zhang', 'Richard Binns']",Reihane Rahimilarki,"['Zhiwei Gao', 'Aihua Zhang', 'Richard Binns']"
84642498,Indoor visible light communication localization system utilizing received signal strength indication technique and trilateration method,40,2018,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FvXKYFQAAAAJ&citation_for_view=FvXKYFQAAAAJ:_kc_bZDykSQC,Richard Binns,2018/1/1,Optical Engineering,,,"['Farag IK Mousa', 'Noor Almaadeed', 'Krishna Busawon', 'Ahmed Bouridane', 'Richard Binns', 'Ian Elliot']",Farag IK Mousa,"['Noor Almaadeed', 'Krishna Busawon', 'Ahmed Bouridane', 'Richard Binns', 'Ian Elliot']"
60436808,Ultrasensitive biosensor based on magnetic microspheres enhanced microfiber interferometer,28,2019,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FvXKYFQAAAAJ&citation_for_view=FvXKYFQAAAAJ:j3f4tGmQtD8C,Richard Binns,2019/12/1,Biosensors and Bioelectronics,,,"['Rahul Kumar', 'Yuankui Leng', 'Bin Liu', 'Jun Zhou', 'Liyang Shao', 'Jinhui Yuan', 'Xinyu Fan', 'Shengpeng Wan', 'Tao Wu', 'Juan Liu', 'Richard Binns', 'Yong Qing Fu', 'Wai Pang Ng', 'Gerald Farrell', 'Yuliya Semenova', 'Hengyi Xu', 'Yonghua Xiong', 'Xingdao He', 'Qiang Wu']",Rahul Kumar,"['Yuankui Leng', 'Bin Liu', 'Jun Zhou', 'Liyang Shao', 'Jinhui Yuan', 'Xinyu Fan', 'Shengpeng Wan', 'Tao Wu', 'Juan Liu', 'Richard Binns', 'Yong Qing Fu', 'Wai Pang Ng', 'Gerald Farrell', 'Yuliya Semenova', 'Hengyi Xu', 'Yonghua Xiong', 'Xingdao He', 'Qiang Wu']"
95657531,A rapid and controllable acoustothermal microheater using thin film surface acoustic waves,26,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FvXKYFQAAAAJ&citation_for_view=FvXKYFQAAAAJ:NMxIlDl6LWMC,Richard Binns,2021/2/1,Sensors and Actuators A: Physical,,,"['Yong Wang', 'Qian Zhang', 'Ran Tao', 'Dongyang Chen', 'Jin Xie', 'Hamdi Torun', 'Linzi E Dodd', 'Jingting Luo', 'Chen Fu', 'Jethro Vernon', 'Pep Canyelles-Pericas', 'Richard Binns', 'Yongqing Fu']",Yong Wang,"['Qian Zhang', 'Ran Tao', 'Dongyang Chen', 'Jin Xie', 'Hamdi Torun', 'Linzi E Dodd', 'Jingting Luo', 'Chen Fu', 'Jethro Vernon', 'Pep Canyelles-Pericas', 'Richard Binns', 'Yongqing Fu']"
12534540,Smart grids: energising the future,26,2013,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FvXKYFQAAAAJ&citation_for_view=FvXKYFQAAAAJ:u5HHmVD_uO8C,Richard Binns,2013/10/1,,International Journal of Environmental Studies,,"['GA Putrus', 'Edward Bentley', 'Richard Binns', 'Tianxiang Jiang', 'David Johnston']",GA Putrus,"['Edward Bentley', 'Richard Binns', 'Tianxiang Jiang', 'David Johnston']"
22683170,Secure MIMO visible light communication system based on user's location and encryption,24,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FvXKYFQAAAAJ&citation_for_view=FvXKYFQAAAAJ:UeHWp8X0CEIC,Richard Binns,2017/10/9,Journal of Lightwave Technology,,,"['Farag Ibrahim Khalifa Mousa', 'Noor Al Maadeed', 'Krishna Busawon', 'Ahmed Bouridane', 'Richard Binns']",Farag Ibrahim Khalifa Mousa,"['Noor Al Maadeed', 'Krishna Busawon', 'Ahmed Bouridane', 'Richard Binns']"
72422579,Flows consumption assessment study for fuel cell vehicles: towards a popularization of FCVs technology,24,2017,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FvXKYFQAAAAJ&citation_for_view=FvXKYFQAAAAJ:WF5omc3nYNoC,Richard Binns,2017/4/27,international journal of hydrogen energy,,,"['Belkallouche Abderezzak', 'Krishna Busawon', 'Richard Binns']",Belkallouche Abderezzak,"['Krishna Busawon', 'Richard Binns']"
47914194,Cascaded Sagnac loops embedded with two polarization maintaining photonic crystal fibers for highly sensitive strain measurement,22,2021,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FvXKYFQAAAAJ&citation_for_view=FvXKYFQAAAAJ:YFjsv_pBGBYC,Richard Binns,2021/1/11,IEEE Transactions on Instrumentation and Measurement,,,"['Qiang Liu', 'Liang Xing', 'Zhaoxia Wu', 'Yongqing Fu', 'Shuguang Li', 'Pingsheng Xue', 'Wai Pang Ng', 'Qiang Wu', 'Richard Binns']",Qiang Liu,"['Liang Xing', 'Zhaoxia Wu', 'Yongqing Fu', 'Shuguang Li', 'Pingsheng Xue', 'Wai Pang Ng', 'Qiang Wu', 'Richard Binns']"
56257963,Flexible and integrated sensing platform of acoustic waves and metamaterials based on polyimide-coated woven carbon fibers,18,2020,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FvXKYFQAAAAJ&citation_for_view=FvXKYFQAAAAJ:maZDTaKrznsC,Richard Binns,2020/7/20,ACS sensors,,,"['Ran Tao', 'Shahrzad Zahertar', 'Hamdi Torun', 'Yi Ru Liu', 'Meng Wang', 'Yuchao Lu', 'Jing Ting Luo', 'Jethro Vernon', 'Richard Binns', 'Yang He', 'Kai Tao', 'Qiang Wu', 'Hong Long Chang', 'Yong Qing Fu']",Ran Tao,"['Shahrzad Zahertar', 'Hamdi Torun', 'Yi Ru Liu', 'Meng Wang', 'Yuchao Lu', 'Jing Ting Luo', 'Jethro Vernon', 'Richard Binns', 'Yang He', 'Kai Tao', 'Qiang Wu', 'Hong Long Chang', 'Yong Qing Fu']"
